Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
55.6,19060.83,275.9,1226.0499,18500.799,7753.0996,2030.4999,907.12,34.0,4688.4897,23044.209,33807.207,182.91425
55.6,11291.73,113.149994,18.599998,283.65,241.79999,43.399998,21.76,44.88,298.68,487.31998,512.8779,3.7097883
55.6,22646.97,382.84998,1422.8999,21934.049,7356.3,1915.7999,650.08,68.0,4147.46,22859.498,39235.164,178.64421
55.6,23149.83,365.8,89.899994,2052.2,1793.35,224.75,3021.92,247.52,3982.4,5351.3496,2478.9102,10.103524
55.6,18511.86,263.5,23.25,530.1,688.19995,240.25,2502.4001,155.04001,3267.14,2686.8098,641.0975,2.5910537
55.7,17863.71,192.2,26.349998,883.5,728.5,435.55,1969.28,262.48,1463.2699,2925.23,726.5771,3.2175274
55.7,16430.82,159.65,136.4,1784.0499,855.6,502.19998,1304.24,76.16,740.14996,2137.92,3761.105,22.735811
55.7,22917.541,413.84998,3878.0999,50109.95,9778.949,2645.8499,2186.8801,233.92,5276.6797,34805.387,106935.055,482.83798
55.7,31371.33,441.75,192.2,2173.0999,1615.1,279.0,5274.08,465.12,7529.88,6502.84,5299.7393,16.517391
55.8,23817.99,323.94998,2571.45,34664.2,9075.25,2816.3499,314.16,217.6,5312.05,29685.908,70905.38,307.68958
55.8,24704.52,310.0,223.2,3358.8499,2140.55,291.4,3390.48,329.12,4706.8296,6456.9897,6154.5356,24.83252
55.8,8720.88,75.95,83.7,336.34998,644.8,-55.8,1995.12,123.76,1273.32,1186.86,2307.951,26.441896
55.9,18229.11,266.6,74.399994,996.64996,1306.6499,190.65,3330.6401,197.2,3352.2898,2777.2,2051.5117,10.669612
56.1,23770.14,426.25,128.65,2642.75,1760.7999,399.9,1083.92,72.08,2236.17,4522.1196,3547.406,14.47487
56.1,4398.72,237.15,31.0,86.799995,122.45,24.8,220.32,58.48,179.46999,324.87997,854.79663,19.15043
56.1,24432.21,203.04999,179.79999,1889.45,1134.6,173.59999,3848.8,353.6,2554.5,3594.64,4957.8203,20.041462
