Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
55.1,20269.26,189.09999,299.15,5725.6997,3831.5999,1097.4,126.48,70.72,1958.45,8552.989,8248.787,41.1988
55.2,22419.9,286.75,10555.5,127453.4,13799.649,2157.5999,1471.52,146.88,4029.5598,34801.457,291058.25,1345.1521
55.2,21967.5,300.69998,1348.5,21638.0,8387.05,2881.45,631.04,137.36,4518.19,28280.28,37183.652,174.51704
55.2,32849.46,509.94998,44528.4,262143.0,61045.2,8929.55,1815.6,274.72,7765.6797,163299.36,1227829.9,3874.7686
55.3,17131.17,241.79999,9.299999,334.8,497.55,288.3,1618.4,141.44,1585.1,1733.1299,256.43896,0.55218995
55.3,47408.04,1216.75,169866.05,262143.0,213354.39,28330.898,5048.32,414.80002,17543.52,262143.0,4683901.0,10243.803
55.3,23473.47,260.4,17077.9,208324.64,20325.148,2483.0999,1374.96,99.28,2925.23,55580.676,470907.47,2079.205
55.4,67297.11,1364.0,225839.64,262143.0,262143.0,37444.9,7002.64,606.56,30530.86,262143.0,6227321.5,9594.172
55.4,10851.51,153.45,-18.599998,525.45,99.2,60.449997,84.32,-9.52,124.45,1019.17993,-512.8779,-5.9008536
55.4,33794.28,919.14996,217.0,4580.25,2132.8,545.6,461.04,129.2,1606.0599,6815.9297,5983.5767,17.359697
55.5,17465.25,525.45,2090.95,30367.6,9858.0,3971.0999,1078.48,216.24,4752.6797,29219.549,57656.03,341.30862
55.5,17688.84,612.25,5435.8496,69452.4,12844.85,2250.5999,3379.6,261.12,15160.629,50500.496,149888.58,877.65234
55.5,35061.0,692.85,939.3,16200.6,7667.8496,2622.5999,753.44,236.64,4287.63,25153.309,25900.338,75.60004
55.5,10505.25,156.54999,113.149994,900.55,892.8,137.95,2442.56,186.32,1065.0299,2637.0298,3120.0076,29.7962
55.6,27112.68,593.64996,8463.0,107159.25,14163.899,3051.95,3323.84,250.24,11529.31,55433.957,233359.48,891.4849
55.6,24711.48,482.05,46992.9,262143.0,58483.047,7891.05,2108.0,277.44,6927.28,154975.61,1295786.1,5436.289
55.6,13777.32,283.65,4371.0,58300.15,14937.35,3366.5999,1750.3201,282.88,7546.9097,50209.68,120526.33,906.1206
55.7,10352.13,1213.6499,182.9,6272.8496,10133.899,4696.5,987.36,436.56,2940.95,17010.35,5043.3,49.516464
55.7,30159.42,469.65,17443.7,212303.5,23274.799,3310.7998,2320.16,201.28,10516.68,58551.758,480994.06,1652.7301
55.7,24217.32,1367.1,123175.4,262143.0,173806.14,21941.799,7232.48,771.12,19536.03,262143.0,3396449.0,14541.762
55.7,11582.311,110.049995,49.6,668.05,1460.1,215.45,956.08,102.0,691.68,2196.8699,1367.6746,11.244342
55.8,25533.63,447.94998,36505.598,262143.0,50889.598,6559.5996,2106.6401,88.4,15358.439,131645.83,1006608.44,4086.8586
55.8,27706.02,1267.8999,124401.445,262143.0,171845.39,25446.35,6634.08,722.16003,30006.86,262143.0,3430256.0,12837.086
55.8,26113.92,1205.8999,138185.6,262143.0,175446.05,23091.898,4674.32,292.4,24760.309,262143.0,3810341.2,15129.025
55.8,26427.121,840.1,4112.15,57760.75,16921.35,5440.5,1732.64,255.68001,8508.449,53110.02,113388.77,443.9058
55.8,8807.88,153.45,-4.6499996,562.64996,537.85,18.599998,1240.3201,110.16,1414.7999,2030.4999,-128.21948,-2.509491
55.8,20562.45,364.25,1588.75,26424.398,12792.149,4101.3,1226.72,352.24,5314.67,31897.19,43808.33,219.9173
55.9,17217.3,240.25,1875.5,24178.45,5212.65,1024.5499,757.52,180.88,3293.3398,17071.92,51715.195,310.45908
55.9,44958.12,787.39996,26112.85,262143.0,37107.0,7176.5,3975.28,280.16,6966.5796,99518.08,720037.94,1659.7148
55.9,33552.42,919.14996,70715.65,262143.0,99688.25,14421.199,3405.44,315.52,33431.2,253963.14,1949919.4,6025.16
55.9,7842.18,119.35,14862.949,183800.55,22104.549,2948.0999,1675.52,164.56,3660.14,51307.457,409832.22,5417.9756
56.0,21918.78,128.65,302.25,5558.3,3499.9,1646.1,503.2,111.520004,2200.7998,11079.9795,8334.268,38.427475
56.0,11802.42,271.25,2769.8499,34563.45,5742.75,1325.25,1791.12,221.68001,6829.03,24156.398,76376.08,670.018
56.0,11350.0205,137.95,-18.599998,985.8,872.64996,186.0,1574.88,136.0,657.62,1878.5399,-512.8779,-5.6856003
56.1,7865.67,77.5,26.349998,170.5,99.2,-99.2,58.48,29.92,145.40999,349.77,726.5771,8.57842
56.1,35723.07,646.35,53437.797,262143.0,67473.05,9456.55,3965.76,352.24,15344.029,199455.34,1473498.4,4276.0938
56.1,9000.15,170.5,46.5,926.89996,1066.4,199.95,1134.24,97.92,706.08997,2471.97,1282.195,13.772438
56.1,36663.54,558.0,25080.549,262143.0,31726.95,3417.75,2230.4,126.48,10761.649,86374.84,691573.2,1954.9225
