FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
62.0,9605.67,1709.5933,17.454956
25178.2,21555.99,694265.8,3338.6863
748.64996,5922.09,20643.338,360.45383
9137.25,20789.52,251951.31,1255.6665
9304.649,31057.26,256567.2,855.6154
6062.05,12210.45,167155.48,1418.5046
11432.8,36486.93,315249.0,894.9098
33458.3,68329.8,922582.06,1399.0475
55.8,18997.32,1538.6339,7.3982897
76932.695,84286.47,2121348.8,2608.7693
-35.649998,17393.041,-983.01605,-6.860477
99.2,21837.871,2735.349,11.988241
137.95,19607.19,3803.845,19.116634
29.449999,14582.94,812.05676,4.7741647
13385.8,53298.81,369101.2,717.08496
8056.9,17215.56,222161.64,1337.1222
-10.849999,16415.16,-299.1788,-2.889877
-3.1,17377.38,-85.47966,-1.510066
17888.549,60777.332,493260.38,840.55493
23088.799,51909.42,636652.5,1270.757
66.65,25876.41,1837.8129,6.3645315
14650.6,24614.91,403976.88,1700.7906
1506.6,15886.2,41543.117,270.16083
15.5,19708.98,427.39832,1.2486224
7712.8,15059.7,212673.4,1463.3495
26.349998,16322.07,726.5771,3.615878
10.849999,7278.42,299.1788,3.2622762
23521.25,33820.38,648576.94,1987.5244
841.64996,8047.5,23207.729,298.03326
16651.65,15800.94,459154.03,3012.168
21391.549,55465.98,589852.4,1101.7181
9631.699,19045.17,265585.28,1444.9958
52.699997,24663.63,1453.1542,5.1094565
176.7,34689.51,4872.341,13.564224
10409.8,23553.51,287040.72,1262.676
58.899998,17893.291,1624.1135,8.411829
5519.55,18801.57,152196.53,838.37976
-13.95,15968.85,-384.65848,-3.4977534
13409.05,14945.73,369742.28,2564.251
7165.65,20987.88,197586.23,975.1936
5683.8496,15902.73,156726.95,1020.927
21465.95,36258.12,591903.94,1691.7539
49.6,16275.09,1367.6746,7.713793
286.75,56306.4,7906.869,13.561117
10476.449,24773.25,288878.5,1208.1498
6356.55,18252.6,175276.05,994.7395
3.1,11035.08,85.47966,-0.19677877
38.75,19399.26,1068.4958,4.7113075
8649.0,15940.14,238488.27,1550.3964
-10.849999,9437.76,-299.1788,-4.2870765
6496.05,17399.13,179122.62,1066.5071
51.149998,18117.75,1410.4144,7.072171
4.6499996,15433.8,128.21948,-0.13855207
11564.55,17492.22,318881.88,1889.3088
77.5,15626.07,2136.9917,13.180807
44049.45,75275.01,1214623.2,1672.1647
152247.2,121507.68,4198077.5,3581.5696
23.25,19018.2,641.0975,2.4954455
18133.45,26088.69,500013.28,1986.3628
-17.05,10827.15,-470.13812,-5.502557
80.6,26919.541,2222.4712,7.5608397
302.25,21501.18,8334.268,39.19324
57.35,9262.89,1581.3738,16.702553
35.649998,16297.71,983.01605,5.2543464
536.3,61111.41,14787.981,24.091953
186.0,45165.18,5128.78,10.774926
29.449999,9165.45,812.05676,8.187143
52.699997,11193.42,1453.1542,12.461603
22823.75,44452.65,629344.0,1467.0415
161.2,10646.19,4444.9424,42.29321
22506.0,46547.61,620582.4,1381.4517
3.1,15298.95,85.47966,-0.42063934
7.75,8789.61,213.69916,1.5210476
23.25,19235.7,641.0975,2.4559224
110.049995,17645.34,3034.5278,16.832367
40631.7,35883.15,1120382.0,3236.602
101652.09,188557.72,2802963.5,1540.42
10143.199,12839.46,279689.44,2257.7969
89.899994,20135.28,2478.9102,11.765887
0.0,13075.23,0.0,-1.0
-62.0,18631.92,-1709.5933,-10.514437
-54.25,10528.74,-1495.8942,-15.732361
20833.549,28917.93,574466.06,2058.895
8481.6,35265.45,233872.34,686.66565
-1.55,17367.81,-42.73983,-1.2551734
19509.85,41888.76,537966.25,1330.6969
-35.649998,14311.5,-983.01605,-8.122351
11226.649,12782.91,309564.6,2510.1313
60.449997,13461.51,1666.8534,11.839601
-1.55,7518.54,-42.73983,-1.5894502
49.6,14252.34,1367.6746,8.95049
497.55,14248.86,13719.485,98.840225
82.149994,25091.67,2265.211,8.361102
88.35,23253.36,2436.1704,9.863502
18023.4,25578.0,496978.78,2013.7407
82.149994,18058.59,2265.211,12.006866
32.55,11673.66,897.53644,6.9724703
99852.55,92462.734,2753342.8,3086.745
55.8,22886.22,1538.6339,5.9712253
15591.449,30157.68,429919.94,1477.2147
20340.648,28865.73,560874.75,2013.7966
44.949997,6297.06,1239.4551,19.409897
18096.25,49837.082,498987.53,1037.2095
238.7,63329.04,6581.934,9.777016
-10.849999,6950.43,-299.1788,-5.4634123
48.05,16121.1,1324.9348,7.5221214
204.59999,29545.2,5641.6577,18.800114
72.85,17942.88,2008.7721,10.608774
54.25,26829.93,1495.8942,4.781349
877.3,8079.69,24190.744,309.45767
40.3,16590.9,1111.2356,5.945189
66.65,15368.55,1837.8129,11.399846
-10.849999,9629.16,-299.1788,-4.221739
28513.799,26824.71,786241.94,3038.2683
10243.949,30724.05,282467.53,952.3183
13376.5,23430.84,368844.75,1631.3137
153.45,11570.13,4231.243,36.92081
10.849999,21290.64,299.1788,0.45710206
62.0,11965.11,1709.5933,13.815761
79.049995,18221.28,2179.7312,11.404291
74.399994,10399.11,2051.5117,19.456234
59997.4,36056.28,1654373.4,4756.7373
62.0,18673.68,1709.5933,8.493159
22192.898,30186.39,611948.9,2101.0925
24.8,14207.97,683.8373,3.9907823
77.5,10835.85,2136.9917,19.449738
100.75,22694.82,2778.089,11.693089
51.149998,12637.62,1410.4144,10.5725565
106.95,12187.83,2949.0483,24.090158
633.94995,12539.311,17480.59,143.55406
23188.0,40548.96,639387.9,1634.0557
31477.398,33835.17,867960.44,2658.9863
-26.349998,10108.53,-726.5771,-8.453179
52574.45,106836.87,1449692.4,1406.0276
23.25,10946.34,641.0975,5.0729966
7529.9,21990.121,207630.11,978.06287
13962.399,24441.78,385000.4,1632.3386
24238.898,51457.02,668365.44,1345.8438
128.65,17901.99,3547.406,19.547428
74.399994,20549.4,2051.5117,9.351963
85.25,33454.11,2350.6907,6.2860794
45642.848,85560.15,1258559.8,1524.2821
72.85,19627.2,2008.7721,9.612561
19990.35,22533.0,551215.6,2535.5906
427.8,7307.13,11796.193,166.39517
58.899998,12997.8,1624.1135,11.9567
10.849999,9536.07,299.1788,2.2531888
63.55,16709.22,1752.3331,9.874476
3541.75,19278.33,97660.516,524.288
80.6,23093.28,2222.4712,8.979261
16507.5,28794.39,455179.22,1638.1641
24.8,13593.75,683.8373,4.2162857
286.75,26409.72,7906.869,30.044783
58.899998,5880.33,1624.1135,27.63931
20058.549,33832.56,553096.1,1694.1716
21.699999,13351.0205,598.3576,3.6472306
26.349998,12871.65,726.5771,4.8532267
368.9,24311.28,10172.08,42.386024
66.65,15199.7705,1837.8129,11.537535
34.1,14897.88,940.27625,5.544536
4301.25,38752.41,118603.03,316.3547
43745.65,40584.63,1206246.2,3080.9265
146904.34,82646.52,4050753.0,5081.2856
21242.75,29392.95,585749.4,2065.4102
86.799995,24638.4,2393.4304,9.072938
-52.699997,18295.23,-1453.1542,-9.236101
57.35,26650.71,1581.3738,5.1528115
14610.3,13665.09,402865.66,3056.0015
52.699997,10037.19,1453.1542,14.012306
144.15,24125.97,3974.8042,16.083578
61910.098,38025.96,1707114.2,4654.114
79.049995,19154.791,2179.7312,10.799767
62.0,20965.26,1709.5933,7.4555225
23724.299,26115.66,654175.8,2596.415
120.899994,16456.05,3333.7068,20.006306
31.0,13862.58,854.79663,5.3939114
4158.65,3983.73,114670.97,2983.7742
44.949997,15878.37,1239.4551,7.094178
17.05,14301.93,470.13812,2.408621
1.55,14642.1,42.73983,-0.69732445
75.95,19800.33,2094.2517,9.967416
34313.9,23031.51,946174.4,4258.873
2399.4,16771.86,66161.26,408.04437
6.2,8714.79,170.95932,1.0341537
387.5,27273.63,10684.958,39.62354
9927.75,54692.55,273748.62,518.0051
15.5,21828.3,427.39832,1.0303025
-49.6,14281.92,-1367.6746,-10.929881
21.699999,24145.98,598.3576,1.5695901
7954.5996,26140.02,219340.81,869.08453
4175.6997,34017.0,115141.1,349.97992
63.55,13951.32,1752.3331,12.024146
27.9,16018.44,769.31696,3.9800415
5023.55,23501.31,138519.8,610.1779
-41.85,14901.36,-1153.9755,-9.030055
-17.05,7814.34,-470.13812,-7.2385125
77.5,12683.73,2136.9917,16.470434
151.9,13585.05,4188.5034,30.970213
19154.898,43743.6,528178.8,1251.0288
4629.85,21917.91,127663.88,602.972
62.0,8074.47,1709.5933,20.954657
41014.547,64366.95,1130938.6,1820.8976
404.55,17608.8,11155.096,64.68881
15.5,8369.4,427.39832,4.2952485
10.849999,11159.49,299.1788,1.779933
-3.1,18627.57,-85.47966,-1.4758329
5669.9,24252.121,156342.3,667.4588
11876.1,23167.23,327472.6,1464.7123
15.5,15960.15,427.39832,1.7767942
15238.05,33755.13,420175.28,1289.7395
16521.45,22431.21,455563.84,2104.9324
28654.85,43104.15,790131.25,1899.7634
-1.55,8116.23,-42.73983,-1.5460423
21769.75,24566.19,600280.94,2532.7551
6172.0996,16617.0,170190.0,1061.0116
11256.1,27690.36,310376.66,1161.2736
7407.4497,17908.95,204253.66,1181.6266
5626.5,28549.05,155145.6,562.50226
657.19995,20719.92,18121.688,89.6898
60157.047,69342.48,1658775.5,2479.4824
7196.65,12481.0205,198441.03,1647.653
34644.05,43512.18,955278.0,2275.4956
9152.75,17669.7,252378.7,1480.0558
53591.25,54789.12,1477729.8,2795.7173
16853.15,40822.14,464710.22,1179.414
973.39996,7731.69,26840.613,358.96964
49.6,12042.54,1367.6746,10.7764
2594.7,6486.72,71546.48,1142.6969
82.149994,19632.42,2265.211,10.964173
21436.5,27609.45,591091.9,2218.96
131.75,13707.72,3632.8857,26.48112
85.25,34766.94,2350.6907,6.01095
49083.848,75390.72,1353442.2,1860.5286
-1.55,15508.62,-42.73983,-1.285764
31.0,8905.32,854.79663,8.953163
93.0,16349.04,2564.39,15.2644615
12672.8,31185.15,349440.88,1160.9133
58.899998,15818.34,1624.1135,9.646414
6.2,9545.64,170.95932,0.8571013
11104.199,36103.26,306188.12,878.4067
43.399998,12718.53,1196.7152,8.756674
62.0,19342.71,1709.5933,8.164807
21.699999,16175.04,598.3576,2.835865
262143.0,181051.34,7228353.5,4138.8584
30559.799,21018.33,842658.5,4156.2036
11476.199,35415.96,316445.7,925.50555
48.05,12804.66,1324.9348,9.729373
51.149998,32325.72,1410.4144,3.5242481
43.399998,21020.07,1196.7152,4.9034314
38756.2,29871.45,1068666.8,3708.6582
26.349998,19544.55,726.5771,2.854818
48.05,18044.67,1324.9348,6.6136594
-10.849999,16076.73,-299.1788,-2.9296608
54.25,11102.07,1495.8942,12.971557
10243.949,16294.23,282467.53,1796.5565
8419.6,27011.76,232162.75,890.2254
5474.5996,13705.98,150957.08,1141.0662
66.65,20257.95,1837.8129,8.407055
60.449997,11531.85,1666.8534,13.9880905
4.6499996,12134.76,128.21948,0.095647216
58.899998,16589.16,1624.1135,9.151726
-9.299999,13792.11,-256.43896,-2.9279742
9434.85,14943.99,260157.34,1804.167
71.299995,25493.61,1966.0321,6.996633
695.94995,25422.27,19190.184,77.27313
49.6,16063.68,1367.6746,7.828473
49.6,17368.68,1367.6746,7.165144
60.449997,6827.7603,1666.8534,24.314363
32594.95,38728.05,898775.94,2405.4324
12852.6,29727.03,354398.7,1235.1992
23025.25,50452.17,634900.2,1303.8887
48.05,17204.25,1324.9348,6.985583
7054.05,10077.21,194508.97,2000.4613
16679.549,22691.34,459923.3,2100.7117
14861.399,39003.84,409789.5,1088.435
9034.95,18082.08,249130.48,1427.6517
9861.1,13096.98,271910.8,2151.7974
63.55,17346.06,1752.3331,9.475233
2621.0498,27422.4,72273.05,272.2869
7055.5996,21489.871,194551.7,937.74817
28521.549,63460.41,786455.6,1284.0476
10239.3,20635.53,282339.3,1417.7427
41192.797,38061.63,1135853.8,3093.446
83434.945,58594.5,2300642.2,4070.3655
10076.55,28428.99,277851.66,1012.4432
105.399994,19093.89,2906.3083,14.783203
20988.549,26327.07,578740.06,2278.4438
86.799995,24922.89,2393.4304,8.957957
-27.9,13337.1,-769.31696,-6.9812474
40582.098,38065.11,1119014.2,3047.2908
15802.25,12338.34,435732.6,3660.9397
48.05,16028.88,1324.9348,7.5711527
60.449997,36312.06,1666.8534,3.7598624
43.399998,9484.74,1196.7152,12.083178
22157.25,51297.81,610965.9,1233.9973
66.65,15358.98,1837.8129,11.407572
97.649994,11304.78,2692.6094,23.697847
71.299995,16944.99,1966.0321,11.030874
68.2,16121.97,1880.5525,11.095261
11181.699,9502.14,308325.12,3363.615
513.05,12292.23,14146.884,118.33778
144275.55,98954.67,3978266.2,4167.746
45762.2,28937.94,1261850.8,4520.5596
75.95,45804.63,2094.2517,3.740972
34.1,14443.74,940.27625,5.7503095
38.75,10543.53,1068.4958,9.508353
29377.148,31239.09,810048.0,2687.811
110.049995,28256.73,3034.5278,10.135689
48.05,18741.541,1324.9348,6.3305593
144.15,18469.23,3974.8042,21.315922
173.59999,14605.561,4786.861,32.984467
24.8,13844.311,683.8373,4.121879
38116.047,39398.82,1051015.1,2765.1367
8190.1997,26173.08,225837.27,893.7231
40.3,5958.63,1111.2356,18.337826
240.25,11835.48,6624.674,57.03988
25322.35,33033.9,698240.6,2190.761
111.6,18813.75,3077.2678,15.960466
15.5,14150.55,427.39832,2.1318963
60.449997,14680.38,1666.8534,10.773565
21.699999,8366.79,598.3576,6.4156604
-1.55,18497.94,-42.73983,-1.2395837
55.8,14718.66,1538.6339,9.839641
-7.75,7828.2603,-213.69916,-3.830645
9972.699,24383.49,274988.06,1168.4075
66.65,16008.87,1837.8129,10.903879
4.6499996,18105.57,128.21948,-0.26567268
9286.05,33854.31,256054.33,783.2708
79.049995,18664.98,2179.7312,11.109418
96.1,11985.99,2649.8696,21.924425
5566.05,13043.91,153478.73,1219.08
34.1,14363.7,940.27625,5.787925
62.0,27930.48,1709.5933,5.346909
31.0,12486.24,854.79663,6.0987024
6246.5,15258.93,172241.52,1169.4736
17184.85,26407.11,473856.5,1859.6892
24431.1,46217.01,673665.25,1510.4374
6827.75,8641.71,188268.95,2258.0554
17704.1,17563.56,488174.34,2881.1082
2148.3,5179.98,59237.41,1184.812
18.599998,13497.18,512.8779,2.9402053
9760.35,21898.77,269132.72,1273.3674
29873.148,53416.26,823724.75,1598.0297
6.2,9784.89,170.95932,0.81169355
13.95,15672.18,384.65848,1.5450351
4601.9497,21823.08,126894.555,601.941
28409.95,32945.16,783378.4,2464.6296
18.599998,10312.98,512.8779,4.1567693
5747.4,10009.35,158479.3,1640.7784
27397.799,18582.33,755469.25,4214.65
26416.648,29322.48,728414.94,2574.8823
69.75,29270.28,1923.2925,5.813439
21.699999,12853.38,598.3576,3.827156
10398.949,13966.98,286741.5,2127.8052
444.84998,33771.66,12266.331,36.662586
-3.1,7856.1,-85.47966,-2.1282456
40.3,6161.34,1111.2356,17.701605
240.25,44054.19,6624.674,14.592837
40.3,10103.31,1111.2356,10.404871
11364.6,18634.53,313368.44,1742.752
-6.2,11333.49,-170.95932,-2.564145
20973.049,33590.7,578312.6,1784.2191
-17.05,22551.27,-470.13812,-3.1617346
8125.0996,47867.4,224042.19,484.3308
6.2,8285.88,170.95932,1.1394496
16629.95,27866.1,458555.62,1705.3328
10660.899,24276.48,293964.56,1254.6168
17232.9,27892.2,475181.47,1765.5447
20.15,17179.02,555.6178,2.353711
58.899998,16386.45,1624.1135,9.277308
9442.6,67098.75,260371.05,401.37048
15461.25,31266.93,426329.8,1412.8663
24.8,7582.92,683.8373,8.351132
-1.55,15861.84,-42.73983,-1.2794005
37.199997,11876.37,1025.7559,7.9558783
55.8,7548.12,1538.6339,20.13705
19237.049,26312.28,530444.0,2089.398
74.399994,9628.29,2051.5117,21.093918
6909.9,17536.59,190534.17,1125.6152
8906.3,5922.09,245583.06,4299.0283
13216.85,20176.17,364442.53,1872.0018
