FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
53511.96,877.63,94942.61,262143.0,47837.902,7867.27,11094.26,939.82,7425.0005,120444.73,52.6,990332.2,1918.013
38964.69,728.48004,88836.88,262143.0,46472.0,6988.0703,13315.03,1311.09,6790.08,117332.164,52.7,926644.3,2464.981
14766.51,210.38,657.83,3833.9402,1026.78,624.86005,124.67,91.79,558.36005,3037.32,52.9,6861.727,47.184067
29666.13,406.63,44828.21,213939.2,22273.59,4797.92,7125.37,658.97003,3784.4402,58879.92,53.0,467596.38,1633.399
32214.36,425.47,45836.152,216854.69,23587.682,2640.74,4703.21,337.02,3740.8801,59825.043,53.2,478110.06,1537.9562
57378.242,808.55005,103018.695,262143.0,55921.832,8702.511,20171.88,1786.48,7531.9204,133763.53,53.3,1074572.6,1940.9427
59788.14,1241.87,136148.83,262143.0,75055.42,14293.28,27535.63,2367.36,10198.32,176278.1,53.5,1420148.1,2462.0117
85352.22,1785.0901,232047.58,262143.0,143100.8,23499.762,50462.582,4625.12,19508.281,262143.0,53.6,2420453.8,2939.5586
38231.28,411.34003,9991.48,46013.562,5669.27,706.5,2139.94,252.08,2508.0,16204.32,53.6,104219.64,281.66928
37500.48,538.51,33222.77,156866.56,17891.72,2639.1702,3526.3801,250.71,3290.76,46132.684,53.7,346541.75,957.2231
60910.44,973.4,143620.47,262143.0,76143.43,13308.891,22718.71,2485.18,11231.881,185427.0,53.9,1498083.8,2549.3057
25564.95,419.19,51938.742,248491.77,26912.941,4639.35,7540.48,794.6,4340.16,71089.92,54.0,541765.25,2196.4253
40013.04,763.02,106216.78,262143.0,55460.25,8429.33,19166.3,1501.52,6685.8003,134629.45,54.1,1107931.4,2870.1719
21654.3,331.27002,400.35,2161.8901,1029.92,6.28,104.12,17.81,584.76,2393.1602,54.1,4175.991,18.996927
52261.77,1190.06,69794.35,262143.0,38972.11,6543.7603,18925.18,1601.53,8260.561,97669.445,54.5,728014.5,1443.4542
74809.56,1119.41,160130.58,262143.0,83792.48,13539.681,24977.84,2131.72,8263.2,198303.61,54.7,1670298.2,2314.1802
21419.4,450.59003,28131.262,131365.05,15053.16,2216.84,3811.34,374.01,2444.6401,37109.16,55.0,293433.0,1419.5271
74558.13,984.39,109761.84,262143.0,59862.53,9839.19,23199.58,2012.53,11237.16,146171.53,55.0,1144909.4,1591.2965
58014.21,742.61005,110934.63,262143.0,60682.07,8853.23,19278.64,1916.63,7106.8804,144953.17,55.1,1157142.6,2067.2375
27222.3,417.62003,65759.45,262143.0,34171.05,5234.3804,9553.01,754.87,3952.08,85400.05,55.1,685927.06,2611.7688
37836.3,692.37,75964.45,262143.0,40834.133,7937.9204,15700.2,1593.31,6193.4404,99554.41,55.2,792373.9,2170.5476
66326.19,1028.35,127595.48,262143.0,68827.234,11054.37,22414.57,1981.02,8743.681,162856.33,55.2,1330929.4,2079.7402
30467.4,615.44,83242.98,262143.0,43556.51,6264.3003,12498.51,1035.72,5136.12,105391.445,55.3,868295.06,2954.1519
