FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
45703.71,824.25,107734.98,262143.0,56989.434,11214.511,15431.68,1490.56,6270.0005,141430.08,52.9,1123767.5,2548.605
11762.4,139.73001,788.14,3822.9502,629.57,351.68002,564.44,78.090004,557.04004,2794.4402,53.1,8220.971,71.47279
48253.68,722.2,93316.09,262143.0,53621.78,7961.47,16412.6,1294.65,6689.7603,120411.73,53.1,973366.25,2090.6729
30923.28,389.36002,45870.69,217592.6,25366.49,3935.9902,8210.41,564.44,3921.7202,63680.76,53.2,478470.34,1603.4174
94516.8,1764.68,242974.78,262143.0,141227.78,20369.182,42964.57,3837.37,15474.36,262143.0,53.2,2534433.8,2779.4802
56650.05,1149.24,154604.19,262143.0,86059.555,14988.79,29212.51,2675.61,11936.761,200915.89,53.3,1612653.2,2950.8113
59752.47,992.24005,110138.64,262143.0,58476.223,9938.101,19884.18,1901.56,10454.4,146188.69,53.3,1148839.8,1992.6617
58972.95,909.03,115186.195,262143.0,69279.39,11465.71,25598.45,2281.05,8500.801,151579.56,53.4,1201490.0,2111.5898
25400.52,623.29004,69279.39,262143.0,36752.133,5656.71,9784.54,780.9,4944.72,86367.6,53.4,722643.0,2949.048
25985.16,359.53,29203.57,135646.44,14005.971,1929.53,2582.45,163.03,2098.8,38550.6,53.6,304618.1,1214.565
51118.59,714.35004,88260.695,262143.0,48808.16,7886.1104,14100.04,1182.31,7859.2803,120271.805,53.7,920634.2,1866.4807
12278.311,248.06001,-47.100002,-43.960003,-4.71,-50.24,41.1,39.73,339.24002,186.12001,53.9,-491.2931,-5.149062
60344.94,976.54004,123959.35,262143.0,71628.11,11820.53,24842.21,2745.48,8651.28,158566.33,54.0,1293001.5,2220.8054
58552.742,1351.77,171111.17,262143.0,96087.14,15610.511,32714.23,3027.7,9991.08,215046.48,54.0,1784835.1,3159.8125
77705.79,1378.4601,168924.16,262143.0,94677.28,14200.65,29957.791,2971.53,16011.601,224576.89,54.2,1762022.8,2350.289
