10h_Specimen_001_Tube_010_010_FITC,10h_Specimen_001_Tube_011_011_FITC,10h_Specimen_001_Tube_012_012_FITC,24h_Specimen_001_Tube_010_011_FITC,24h_Specimen_001_Tube_011_012_FITC,24h_Specimen_001_Tube_012_013_FITC,2h_Specimen_001_Tube_010_010_FITC,2h_Specimen_001_Tube_011_011_FITC,2h_Specimen_001_Tube_012_012_FITC,48h_Specimen_001_Tube_010_010_FITC,48h_Specimen_001_Tube_011_011_FITC,48h_Specimen_001_Tube_012_012_FITC,6h_Specimen_001_Tube_010_010_FITC,6h_Specimen_001_Tube_011_011_FITC,6h_Specimen_001_Tube_012_012_FITC,72h_Specimen_001_Tube_010_010_FITC,72h_Specimen_001_Tube_011_011_FITC,72h_Specimen_001_Tube_012_012_FITC
1940.938,752.2998,1941.898,72.48661,1664.1937,1991.952,1846.307,61.683872,1092.678,51.463184,2427.9849,14.267127,1775.028,2467.1902,1293.9763,1521.1453,-1.787769,-13.143676
2128.4739,2724.546,2827.1624,2960.7913,3564.176,37.267677,717.8347,604.9376,684.1973,2849.4233,4024.614,20.95063,1925.8715,2686.5562,3548.6125,33.22378,1660.9655,3.4795513
2448.1777,1694.8137,2838.7715,2155.736,3206.6772,15.589144,1396.9275,361.70328,18.694921,100.628426,1782.4751,90.4023,1086.0593,643.42035,1178.1482,3898.0217,476.15405,48.286686
4342.737,1851.3218,2354.6836,53.248432,503.62186,3466.1104,1570.621,665.8602,1689.8845,2458.4963,14.921195,9.756623,1453.1012,1253.1566,2257.2983,2.1917477,2042.4647,-3.1523309
2015.722,2967.9592,1923.0435,2964.6494,2808.611,2266.9136,983.6235,729.80304,1049.9086,-0.37465882,13.079951,170.94505,1951.2128,2079.4353,1450.0187,-6.6399794,6777.6934,1842.9663
1753.6555,2067.2988,3279.1,1131.648,758.4865,32.608406,871.0416,764.2378,8.054012,40.579327,4825.738,3024.1897,1333.6432,3325.0408,2358.153,3154.527,4924.401,10.666653
2163.0698,1708.8024,1273.5857,1258.953,4703.215,2048.0715,964.7267,813.2649,990.86554,2528.393,6140.7207,4159.4565,2692.3137,1699.2539,1967.9937,2617.2607,18.034626,9.735138
3721.1768,2917.63,1828.8323,26.344204,2405.1047,7.278672,673.56555,864.96875,622.1376,1705.0349,2027.0948,-2.7811291,1025.4072,1918.5277,1240.4756,3660.5752,2141.0676,14.395631
2478.367,2032.1825,2825.951,1929.4067,229.31291,505.23566,402.31528,1109.5479,535.0373,3110.1897,2080.3196,25.551998,1932.3174,112.67299,1218.2091,335.0527,75.04911,7.018874
1517.202,2361.8674,3542.602,217.05424,1330.1627,104.03117,887.3617,772.09485,490.7355,1820.8899,4114.5454,646.57806,2423.5234,113.857185,1541.6526,6.118708,3852.169,2097.1455
1819.7072,2209.9744,1679.9435,173.09024,5648.346,21.341154,236.98267,1254.2983,470.16684,3888.3054,8346.151,5038.8193,1129.8378,2389.0435,-4.4377646,3955.4248,2520.219,-5.609981
2742.474,3814.3901,208.93689,10.352215,91.1485,3516.2078,401.78473,1366.7578,357.4808,1625.2537,4016.3975,-8.512432,2184.9844,1809.9553,1764.5574,10.956284,12.783241,-0.47873837
2664.2727,2805.241,2126.8496,2971.7576,84.48713,145.89705,3050.384,39.02263,263.28125,11.28893,3567.3276,5.8271494,1784.3221,1522.3911,1683.6265,3334.5796,3557.1213,-1.0
1620.6119,2325.2998,996.3958,54.677563,4145.804,1706.4148,783.864,661.42566,2.7069602,2907.163,3688.5825,1465.5381,1949.001,1842.376,2274.9062,948.1336,4683.5337,1611.477
41.69931,2601.5115,2902.7625,2519.0334,1220.1316,98.02567,1553.9764,863.40436,1435.0715,2533.9067,0.8588333,2478.3716,228.14177,2204.8662,1254.9438,1741.9452,2.6461687,5574.2866
2127.31,2510.239,62.981895,3209.1194,1768.8522,2040.7623,808.2029,347.7746,950.4341,2674.419,5005.1147,4450.223,1489.511,2890.6128,497.6972,2544.1404,0.029929042,-16.80716
0.35592723,18.537325,9.918869,2783.3667,61.46396,2760.252,18.816195,885.53687,1774.9718,5237.1025,192.8399,2399.906,1754.4075,2157.6733,5.1023445,15.563255,2386.8428,-3.1878152
97.812485,2603.1396,2503.8455,22.392689,7353.461,24.512875,754.2354,491.28708,1495.0875,9.825462,4.4491878,1836.0676,78.49609,2767.4277,73.33709,1125.3331,2170.4534,27.723377
3106.5408,3261.6174,2532.143,15.864117,146.67294,42.481113,245.16959,459.85416,711.19257,14.757919,4900.8486,29.584091,-4.17777,1683.6832,1760.3861,325.91617,5326.9517,3522.9482
3573.1304,1714.2911,2055.946,2355.0203,61.61953,1325.0162,1287.0049,82.42428,454.76624,4742.2754,4187.3896,1516.9054,2206.7788,1681.959,1644.925,1550.4855,46.17775,3240.3286
750.81885,1845.7888,2430.2048,2739.3887,268.34387,4148.535,895.83936,48.45041,1389.149,2914.631,2183.6404,3118.67,2191.6565,2053.667,1728.9626,1828.6279,881.4389,1.0593956
4278.709,2338.9106,3174.3643,1636.5208,3404.9521,1829.0475,5.537078,621.4643,998.2645,4397.017,3114.288,9.449565,2332.5305,1976.3401,884.3196,2849.3716,7232.454,3.3146882
