time_point,tube,filename,x,y
10h,Tube_010,Specimen_001_Tube_010_010.fcs,620.6206206206206,0.10455123545976584
10h,Tube_010,Specimen_001_Tube_010_010.fcs,630.6306306306307,0.12740375206840773
10h,Tube_010,Specimen_001_Tube_010_010.fcs,640.6406406406406,0.170844328446516
10h,Tube_010,Specimen_001_Tube_010_010.fcs,650.6506506506506,0.2414229482724895
10h,Tube_010,Specimen_001_Tube_010_010.fcs,660.6606606606607,0.32641482274992023
10h,Tube_010,Specimen_001_Tube_010_010.fcs,670.6706706706707,0.3562582540089708
10h,Tube_010,Specimen_001_Tube_010_010.fcs,680.6806806806807,0.3567015256764211
10h,Tube_010,Specimen_001_Tube_010_010.fcs,690.6906906906906,0.34835760300355983
10h,Tube_010,Specimen_001_Tube_010_010.fcs,700.7007007007007,0.363207996084326
10h,Tube_010,Specimen_001_Tube_010_010.fcs,710.7107107107107,0.4017404706749757
10h,Tube_010,Specimen_001_Tube_010_010.fcs,720.7207207207207,0.3682485127046281
10h,Tube_010,Specimen_001_Tube_010_010.fcs,730.7307307307308,0.2576553380906905
10h,Tube_010,Specimen_001_Tube_010_010.fcs,740.7407407407408,0.1893306214370663
10h,Tube_010,Specimen_001_Tube_010_010.fcs,750.7507507507507,0.1735363888788172
10h,Tube_010,Specimen_001_Tube_010_010.fcs,760.7607607607607,0.18741084740290423
10h,Tube_010,Specimen_001_Tube_010_010.fcs,770.7707707707708,0.19677244263749044
10h,Tube_010,Specimen_001_Tube_010_010.fcs,780.7807807807808,0.1981856385886987
10h,Tube_010,Specimen_001_Tube_010_010.fcs,790.7907907907908,0.1913841225617137
10h,Tube_010,Specimen_001_Tube_010_010.fcs,800.8008008008007,0.1956689754946991
10h,Tube_010,Specimen_001_Tube_010_010.fcs,810.8108108108108,0.2146289524692284
10h,Tube_010,Specimen_001_Tube_010_010.fcs,820.8208208208208,0.18901300975692473
10h,Tube_010,Specimen_001_Tube_010_010.fcs,830.8308308308308,0.1726445176499702
10h,Tube_010,Specimen_001_Tube_010_010.fcs,840.8408408408409,0.17615238812393852
10h,Tube_010,Specimen_001_Tube_010_010.fcs,850.8508508508509,0.18772111801423455
10h,Tube_010,Specimen_001_Tube_010_010.fcs,860.8608608608608,0.21522726351928514
10h,Tube_010,Specimen_001_Tube_010_010.fcs,870.8708708708708,0.2854326311698903
10h,Tube_010,Specimen_001_Tube_010_010.fcs,880.8808808808809,0.37349011041429137
10h,Tube_010,Specimen_001_Tube_010_010.fcs,890.8908908908909,0.4243418712807801
