FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
33903.03,667.25,63903.71,262143.0,37042.582,5641.0103,13673.97,1038.46,6244.9204,84943.32,54.0,666570.06,2037.7086
53101.32,744.18005,67153.61,262143.0,37466.48,5601.7603,11484.71,1074.08,5625.8403,85826.41,54.0,700469.3,1366.8285
39394.47,684.52,17615.4,84258.766,21637.74,7174.9004,2657.8,235.64,2873.6401,27910.082,54.1,183743.61,482.64297
10119.84,171.13,1166.51,6006.8203,1546.4501,357.96002,1249.4401,95.9,547.80005,3206.28,54.3,12167.692,123.67588
20063.07,251.20001,172.70001,830.53,434.89,67.51,1076.82,100.01,1000.56006,1438.8,54.6,1801.4081,8.310277
47675.13,643.7,33814.66,157238.64,16842.96,2444.49,4073.01,505.53,3384.4802,43479.48,54.6,352715.7,766.1509
21134.91,238.64001,14621.41,67663.86,6878.1704,1051.9,1317.9401,100.01,1716.0001,19995.361,54.6,152513.75,747.2668
51149.91,786.57,54102.203,248821.45,27528.38,4157.3604,7152.77,521.97003,5154.6,68917.2,54.6,564332.0,1143.0306
22732.23,213.52,6870.3203,31703.012,3347.24,543.22003,1623.45,53.43,1065.24,9245.28,54.9,71663.29,325.89072
31998.6,409.77002,47300.96,220627.39,24181.14,3771.1401,7350.05,608.28,5773.68,61926.484,54.9,493389.28,1597.846
43313.82,686.09,52070.62,242558.73,27834.531,4443.1,9255.72,846.66,4530.24,67580.04,54.9,543140.9,1299.271
45110.37,799.13,43641.293,202749.81,21034.861,3351.9502,5049.82,452.1,4589.64,57293.28,55.2,455215.8,1045.3785
20304.93,141.3,9507.92,42837.453,4775.94,885.48004,1783.74,78.090004,1174.8,12699.721,55.2,99175.695,505.46756
24208.621,351.68002,6171.6704,27975.83,2906.07,574.62,1326.16,135.63,1254.0,8578.681,55.9,64375.773,274.74033
15997.561,229.22,12738.98,60076.05,6594.0,874.49005,1437.13,38.36,1016.4,16741.56,55.9,132878.4,860.28827
31821.121,364.24002,40553.1,191312.36,21640.88,3183.9602,5474.52,465.8,1543.0801,49026.12,56.0,423003.34,1377.403
25443.15,317.14,16147.45,75104.09,7806.04,1028.35,1519.33,95.9,1337.16,20371.56,56.2,168431.64,685.43695
35672.61,489.84003,34766.082,160755.45,17783.39,2477.46,3951.08,339.76,3552.12,44387.64,56.3,362639.8,1053.1161
34668.63,395.64,8501.55,40901.64,4582.83,613.87,2093.36,172.62,1643.4,11939.4,56.4,88678.4,264.23392
24142.5,331.27002,19326.701,91501.17,9963.221,1694.03,2138.57,272.63,1590.6001,25299.121,56.5,201593.94,864.8509
43018.02,557.35004,27448.31,128449.555,14486.391,1620.2401,4210.0103,360.31,3373.9202,37783.68,56.6,286309.25,689.1331
25097.76,342.26,24620.74,118042.02,13933.75,2679.99,4111.37,406.89,2505.36,32875.92,56.6,256815.27,1060.0449
26800.35,414.48,21169.88,97310.17,10399.681,1802.3601,2767.4,367.16,2090.8801,28261.201,56.7,220819.88,853.3692
39806.85,513.39,540.08,1827.4801,1612.39,664.11005,2724.93,361.68,2397.12,4408.8003,56.8,5633.494,13.674654
41238.87,568.34,49462.85,232336.45,25493.66,3039.52,7843.25,746.65,5165.16,66072.6,56.8,515939.62,1296.2987
42090.6,725.34,27374.521,127424.34,14042.08,2215.27,3907.24,335.65,2308.6802,33947.76,57.0,285539.56,702.44324
21293.25,617.01,1094.29,5053.83,1904.41,967.12006,3037.29,297.29,2455.2002,5891.16,57.3,11414.376,54.585064
42060.15,601.31,42529.73,199922.23,22003.55,3264.03,4247.0,295.92,3094.08,52298.402,57.4,443621.28,1092.678
55739.16,756.74005,35310.87,165980.4,18232.41,2772.62,5067.63,319.21,3616.8,45175.684,57.4,368322.44,684.1973
33798.63,379.94,615.44,2973.58,879.2,381.51,1904.3,208.24,1441.4401,3384.4802,57.7,6419.563,18.694921
24986.4,310.86002,39061.6,184376.1,21282.92,3439.87,6954.12,730.21,3771.2402,52571.64,57.7,407445.75,1689.8845
44264.73,645.27,43008.582,201735.6,21628.32,3362.9402,5600.56,711.03,3581.1602,55554.844,57.8,448616.12,1049.9086
34322.37,390.93002,287.31,1626.52,1375.3201,395.64,2260.5,186.32,2428.8,4000.9202,58.0,2996.8877,8.054012
39157.832,536.94,35909.043,166829.78,20380.17,2450.77,6644.5,593.21,6537.9604,52258.8,58.1,374561.88,990.86554
26858.64,445.88,15473.921,71725.45,7488.9004,982.82,2442.71,189.06,1491.6001,19953.121,58.1,161406.16,622.1376
