Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.8,28713.48,438.65,49976.65,262143.0,71371.3,9991.3,5868.4,584.8,3489.45,156645.98,1378060.4,4975.5723
53.8,26877.78,404.55,1002.85,13993.399,4578.6997,1232.25,761.60004,96.56,2358.1199,11407.47,27652.67,105.682106
53.8,74463.3,1112.9,181160.89,262143.0,239183.6,34506.098,11251.28,1025.4401,8399.189,262143.0,4995346.0,6955.186
53.9,29545.2,461.9,203.04999,2244.4,1368.6499,283.65,1508.24,131.92,1518.33,3510.0898,5598.9175,18.650112
53.9,27407.61,455.69998,136.4,1488.0,1267.8999,133.3,1642.88,174.08,2234.28,4046.73,3761.105,13.229583
53.9,16187.22,224.75,168.95,1901.85,644.8,108.5,137.36,-2.72,319.91998,1715.7,4658.6416,28.84248
53.9,28715.22,1672.45,70965.195,262143.0,111252.8,20250.75,13167.5205,1047.2,13964.25,245178.69,1956800.4,7065.14
54.0,44122.92,733.14996,159.65,3110.8499,1587.2,664.94995,3719.6,295.12,3366.9,7091.13,4402.2026,9.3455515
54.1,26729.01,393.69998,85.25,1548.45,742.44995,316.19998,1580.3201,239.36,1477.0499,3139.8599,2350.6907,8.119279
54.1,27381.51,368.9,68.2,1057.1,909.85,195.29999,1849.6,221.68001,1386.75,2761.89,1880.5525,6.121573
54.2,10204.23,127.1,31.0,943.94995,381.3,141.05,720.8,36.72,675.95996,1122.2999,854.79663,7.6862116
54.3,16308.15,168.95,31.0,937.75,1033.85,86.799995,1098.88,78.88,643.70996,3034.0798,854.79663,4.4350805
54.4,46726.832,627.75,257.3,4536.85,1965.3999,261.94998,2868.24,296.48,2872.8298,6482.25,7094.812,14.7442665
54.5,28806.57,517.7,199.95,3408.45,1897.2,482.05,259.76,42.16,1342.89,5209.02,5513.4385,18.84627
54.5,33610.71,651.0,24307.1,262143.0,35918.15,4736.8,3884.1602,304.64,3337.23,76208.04,670246.06,2066.7805
54.6,16445.61,195.29999,60.449997,447.94998,595.19995,69.75,1309.68,122.4,935.25,1719.57,1666.8534,9.509821
54.7,58251.72,888.14996,94360.9,262143.0,135677.7,20672.35,14488.08,1418.48,11100.449,262143.0,2601915.5,4630.614
54.8,29494.74,418.5,203.04999,2780.7,1167.15,210.79999,1517.76,159.12,1867.9199,4035.1199,5598.9175,18.68373
54.8,19889.07,299.15,40.3,866.44995,606.05,108.5,864.96,62.56,1065.5399,1827.9299,1111.2356,4.7934804
54.8,32133.45,528.55,159.65,2148.3,1534.5,387.5,1863.2001,150.96,2235.5698,4086.72,4402.2026,13.205631
54.9,16337.73,368.9,94.549995,1686.3999,1329.8999,114.7,246.16,76.16,870.75,3080.52,2607.1296,15.546982
54.9,98627.55,5355.25,262143.0,262143.0,262143.0,76365.4,41617.36,3406.8,49159.32,262143.0,7228353.5,7598.5703
54.9,41815.68,629.3,48462.297,262143.0,67711.75,9352.7,9054.88,994.16003,5792.0996,151300.22,1336303.5,3312.7048
54.9,26642.88,376.65,511.49997,6373.5996,1478.7,398.34998,72.08,0.0,639.83997,3899.67,14104.144,53.89255
55.0,20250.99,314.65,74.399994,1342.2999,618.44995,3.1,877.2,68.0,1052.64,1986.6,2051.5117,9.504506
55.1,30460.44,483.59998,159.65,2224.25,1019.89996,337.9,1981.52,163.2,1985.3099,3671.3398,4402.2026,13.985863
55.1,15551.25,217.0,18.599998,751.75,556.45,41.85,393.04,27.2,519.87,1328.7,512.8779,2.4197676
55.1,16709.22,272.8,46.5,540.95,192.2,72.85,602.48,61.2,790.76996,1242.27,1282.195,6.956934
55.1,32953.86,531.64996,215.45,3603.75,1188.85,209.25,2604.4001,202.64,1767.2999,4975.53,5940.8364,17.693438
55.1,61125.332,1632.1499,76371.59,262143.0,115321.55,17877.7,12165.2,1222.64,14752.439,258042.56,2105876.8,3571.3962
55.2,44246.46,1058.65,5567.5996,75801.195,17068.6,4967.75,1864.56,266.56,6800.88,41428.348,153521.47,358.7812
55.3,25416.18,438.65,970.3,14118.949,5170.8,1204.35,5169.36,477.36002,3618.45,11758.35,26755.135,108.15528
55.3,51951.18,2032.0499,61344.348,262143.0,100488.05,17919.549,21342.48,1924.4,16219.17,218145.44,1691514.2,3375.1997
55.4,20739.93,579.7,31705.25,262143.0,51976.15,8573.05,11334.24,1066.24,10040.069,115097.664,874243.25,4369.92
55.4,15151.05,187.54999,58.899998,1886.35,1302.0,269.69998,125.12,5.44,1010.06995,3890.64,1624.1135,10.115309
55.6,30092.43,568.85,134.84999,2455.2,813.75,255.74998,2020.96,156.40001,1282.26,2674.17,3718.3652,11.812759
55.7,27668.61,748.64996,9324.8,129961.3,29264.0,7241.5996,14713.84,1656.48,5678.5796,51087.867,257122.83,962.6098
55.8,24083.34,265.05,545.6,9363.55,4141.6,1354.7,511.36002,136.0,2216.22,10191.0,15044.42,63.77488
55.8,13865.19,117.799995,51.149998,353.4,240.25,220.09999,918.0,110.16,861.72,1364.82,1410.4144,9.547968
55.8,17384.34,485.15,361.15,4236.15,985.8,296.05,301.92,5.44,512.13,3129.5398,9958.381,58.3989
55.9,29935.83,463.44998,207.7,3306.15,1193.5,292.94998,2054.96,157.76,1158.4199,3339.8098,5727.137,18.83783
55.9,29617.41,533.2,167.4,2436.5999,1040.0499,336.34998,2484.72,240.72,2297.49,4979.4,4615.902,15.160595
56.0,29620.89,773.44995,3639.4,49007.9,12398.449,3230.2,5338.0,767.04,7211.0996,28756.68,100353.125,350.30203
56.0,19709.85,353.4,88.35,726.94995,609.14996,246.45,1108.4,107.44,828.18,2057.55,2436.1704,11.816583
56.0,14462.88,207.7,88.35,1134.6,252.65,9.299999,629.68,9.52,612.75,1673.13,2436.1704,16.466293
56.1,16136.76,249.54999,761.05,9989.75,3907.5498,2140.55,650.08,35.36,2494.8599,9585.989,20985.258,133.84842
56.2,41660.82,762.6,73341.35,262143.0,104992.34,15314.0,8359.92,716.72003,5652.78,220937.0,2022320.6,5032.5
56.2,25323.96,403.0,30955.049,262143.0,42690.098,5373.8496,4036.48,323.68,3173.4,98534.07,853557.1,3494.0132
56.2,12138.24,137.95,62.0,403.0,441.75,-106.95,579.36,34.0,450.21,1121.01,1709.5933,13.604442
56.3,33553.29,488.25,162.75,1477.1499,1043.15,303.8,2196.4,243.44,1527.36,3822.2698,4487.682,12.868671
56.3,44785.86,1582.5499,61026.598,262143.0,88216.695,12638.699,7206.64,794.24,9609.21,200520.17,1682752.6,3895.0745
56.4,50571.36,1920.45,13725.25,183766.44,39396.348,9019.45,14195.68,1440.24,17549.16,85129.68,378461.22,775.0052
56.4,23302.08,399.9,77.5,683.55,860.25,353.4,1816.96,58.48,1050.0599,2721.9,2136.9917,8.509464
56.4,21891.81,341.0,46.5,1272.5499,533.2,-32.55,923.44,29.92,1202.2799,2231.7,1282.195,5.0732374
56.5,19275.72,221.65,85.25,801.35,520.8,199.95,947.92,129.2,1186.7999,2094.96,2350.6907,11.645405
56.6,28592.55,404.55,218.54999,3789.75,1125.2999,528.55,1634.72,131.92,1747.95,3971.91,6026.316,20.854801
56.6,13165.71,113.149994,294.5,3361.95,1474.0499,379.75,231.2,34.0,1042.32,4277.6396,8120.568,62.95728
56.7,7377.6,199.95,63.55,970.3,187.54999,34.1,160.48,25.84,144.48,252.84,1752.3331,23.62915
56.7,26704.65,395.25,438.65,8529.649,4434.55,1156.2999,344.08002,29.92,2923.14,12513.0,12095.372,45.965637
56.8,30652.71,491.34998,155.0,2774.5,1100.5,111.6,1627.92,182.24,1314.51,3694.5598,4273.9834,13.458119
56.8,12305.28,141.05,63.55,1143.9,601.39996,230.95,486.88,62.56,748.19995,2169.78,1752.3331,13.766346
56.8,44892.87,782.75,71627.05,262143.0,96228.65,15250.449,6600.08,522.24,6185.55,221251.77,1975050.2,4560.93
56.9,13753.83,195.29999,40.3,1002.85,897.44995,110.049995,252.96,-42.16,750.77997,2894.76,1111.2356,7.3778076
56.9,46913.88,627.75,21670.549,262143.0,35508.95,4944.5,5608.64,443.36002,7140.15,77308.41,597545.56,1319.7406
56.9,28433.34,472.75,89.899994,1209.0,821.5,159.65,1098.88,81.6,1468.0199,3489.45,2478.9102,8.040257
57.0,80285.34,1306.6499,452.59998,8002.65,4091.9998,497.55,6018.0,504.56,5490.2397,12519.449,12480.03,15.118597
57.0,38162.55,536.3,128.65,2170.0,1371.75,435.55,2237.2,202.64,2181.39,4467.27,3547.406,8.638764
57.0,11477.04,189.09999,24.8,362.69998,148.79999,23.25,576.64,44.88,479.87997,1500.2699,683.8373,5.178325
57.1,27168.36,762.6,2968.25,41459.4,13052.55,3354.2,5019.7603,402.56,7981.23,31568.879,81846.78,311.38205
57.1,49166.31,1007.49994,87331.65,262143.0,122206.65,15740.25,10374.08,871.76,9268.649,262143.0,2408090.2,5077.7056
57.2,33653.34,351.84998,13652.399,180606.0,25843.148,5573.8,4912.32,470.56,6275.8496,54517.977,376452.44,1158.9248
57.2,28291.53,427.8,30299.398,262143.0,41626.797,6556.5,3980.72,451.52002,3676.5,94920.77,835478.2,3061.1506
57.3,25342.23,372.0,32.55,1283.3999,799.8,66.65,1062.16,138.72,1329.99,2404.5598,897.53644,2.6724436
57.4,39972.15,544.05,144.15,2991.5,1635.25,285.19998,2524.16,251.6,2720.6099,5593.44,3974.8042,9.311127
57.4,40077.42,807.55,36882.25,262143.0,56900.5,8408.75,6938.72,749.36,7069.1997,123094.375,1016994.3,2630.2773
57.5,19562.82,246.45,108.5,680.44995,689.75,186.0,1248.48,74.8,924.93,2038.2,2991.7883,14.857959
57.5,41256.27,857.14996,199.95,3048.8499,1988.6499,434.0,2902.24,213.52,2976.03,6158.46,5513.4385,12.857358
57.5,51282.15,1054.0,74203.15,262143.0,108489.15,17825.0,14337.12,1430.72,12386.58,235377.27,2046084.0,4136.187
57.5,38494.89,1167.15,446.4,6404.5996,3454.95,423.15,6128.16,399.84,4623.36,11999.58,12309.071,32.156605
57.5,14530.74,237.15,63.55,668.05,527.0,49.6,807.84,97.92,704.33997,1400.94,1752.3331,11.504802
57.5,49873.62,1036.95,42087.15,262143.0,63573.246,8290.95,6692.56,788.8,8569.47,139833.42,1160514.6,2411.835
57.6,42495.15,1255.5,50517.598,262143.0,76433.59,12017.149,7684.0,546.72003,10691.52,169454.39,1392976.5,3398.009
57.6,25525.8,220.09999,387.5,6401.5,3024.0498,728.5,214.88,122.4,1883.3999,8722.9795,10684.958,42.405155
57.6,11045.5205,54.25,32.55,675.8,396.8,229.4,59.84,-5.44,558.57,1240.98,897.53644,7.425851
57.7,60518.07,1522.1,77783.65,262143.0,113162.4,16569.5,13873.36,1398.08,15019.47,253159.9,2144813.0,3673.9568
57.7,36579.15,516.14996,413.84998,4853.05,1627.5,286.75,2124.32,247.52,2040.7799,5127.75,11411.534,31.348812
57.8,13857.36,446.4,2870.5999,37120.95,6204.65,1925.1,4403.68,482.80002,4215.7197,18552.78,79154.164,591.2992
57.9,42320.28,582.8,99.2,2030.4999,1257.0499,341.0,2851.92,228.48,2649.66,4909.7397,2735.349,5.7021184
58.0,17982.03,238.7,26.349998,618.44995,325.5,-72.85,941.12,-39.44,930.08997,1756.98,726.5771,3.189777
58.0,30140.28,398.34998,21142.0,262143.0,30663.648,4012.95,3712.8,412.08002,4285.38,70258.555,582971.3,2004.616
58.0,51597.96,1097.4,42026.7,262143.0,60147.75,8549.8,6056.08,580.72003,5718.57,135421.61,1158847.8,2327.851
58.0,19596.75,299.15,54.25,368.9,556.45,206.15,1082.56,47.600002,984.26996,1984.0199,1495.8942,6.9152513
58.0,26964.78,334.8,187.54999,1427.5499,810.64996,196.84999,1157.36,110.16,1244.85,2706.42,5171.5195,18.886995
58.1,28906.621,249.54999,358.05,6035.6997,3496.7998,790.5,390.32,84.32,2533.5598,9775.62,9872.901,34.41566
