Experiment Name,Specimen Name,Tube Name,Record Date,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events SSC-A Mean,All Events FITC-A Mean,All Events PE-A Mean,All Events PerCP-Cy5-5-A Mean,All Events PE-Cy7-A Mean,All Events APC-A Mean,All Events APC-Cy7-A Mean,All Events Pacific Blue-A Mean,All Events V500-A Mean
1-72 YFAST,Specimen_001,Tube_001,"Aug 14, 2026 4:43:55 PM",10000,,18650,7366,1617,11758,3805,756,2801,136,2910,11754
1-72 YFAST,Specimen_001,Tube_002,"Aug 14, 2026 4:44:42 PM",10000,,24524,12391,10489,80147,16207,2649,5731,258,4002,38657
1-72 YFAST,Specimen_001,Tube_003,"Aug 14, 2026 4:45:31 PM",10000,,30054,15312,6984,65328,15463,2924,14047,605,4744,33322
1-72 YFAST,Specimen_001,Tube_004,"Aug 14, 2026 4:46:18 PM",10000,,24539,8298,2537,27960,7446,1499,4840,242,3134,16844
1-72 YFAST,Specimen_001,Tube_005,"Aug 14, 2026 4:47:12 PM",10000,,25903,8910,1850,23879,5800,1119,3898,177,1697,9548
1-72 YFAST,Specimen_001,Tube_006,"Aug 14, 2026 4:48:02 PM",10000,,23755,8959,379,7990,5377,1133,3882,171,1202,4500
