Experiment Name,Specimen Name,Tube Name,Record Date,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events SSC-A Mean,All Events FITC-A Mean,All Events PE-A Mean,All Events PerCP-Cy5-5-A Mean,All Events PE-Cy7-A Mean,All Events APC-A Mean,All Events APC-Cy7-A Mean,All Events Pacific Blue-A Mean,All Events V500-A Mean
1-0 YFAST,Specimen_001,Tube_001,"Aug 11, 2026 5:43:43 PM",10000,,28473,6658,54513,99914,11264,1576,1668,72,1974,35772
1-0 YFAST,Specimen_001,Tube_002,"Aug 11, 2026 5:44:49 PM",10000,,29077,7423,113622,189067,24287,3341,1557,68,1848,71301
1-0 YFAST,Specimen_001,Tube_003,"Aug 11, 2026 5:45:38 PM",10000,,20731,5459,6987,13424,2604,535,5967,258,1723,7166
1-0 YFAST,Specimen_001,Tube_004,"Aug 11, 2026 5:46:31 PM",10000,,30433,9111,6907,13365,2425,482,4281,185,2396,8421
1-0 YFAST,Specimen_001,Tube_005,"Aug 11, 2026 5:47:31 PM",10000,,25349,9641,670,3274,3245,791,6203,271,3760,5746
1-0 YFAST,Specimen_001,Tube_006,"Aug 11, 2026 5:48:34 PM",10000,,20395,7960,543,3046,2885,715,4092,182,2268,4182
