Experiment Name,Specimen Name,Tube Name,Record Date,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events SSC-A Mean,All Events FITC-A Mean,All Events PE-A Mean,All Events PerCP-Cy5-5-A Mean,All Events PE-Cy7-A Mean,All Events APC-A Mean,All Events APC-Cy7-A Mean,All Events Pacific Blue-A Mean,All Events V500-A Mean
1-39 YFAST,Specimen_001,Tube_001,"Aug 13, 2026 7:46:24 AM",10000,,43610,27082,86799,174334,110508,20334,8039,396,11978,160664
1-39 YFAST,Specimen_001,Tube_002,"Aug 13, 2026 7:47:19 AM",10000,,33863,16422,21400,171821,31258,5046,12532,535,6938,76028
1-39 YFAST,Specimen_001,Tube_003,"Aug 13, 2026 7:48:13 AM",10000,,38268,21425,14836,106107,26204,4792,19319,839,8783,54903
1-39 YFAST,Specimen_001,Tube_004,"Aug 13, 2026 7:49:04 AM",10000,,29378,10489,5143,55322,11740,2228,8343,388,5929,26433
1-39 YFAST,Specimen_001,Tube_005,"Aug 13, 2026 7:50:29 AM",10000,,32544,12299,3257,37666,9112,1754,8850,377,2630,16800
1-39 YFAST,Specimen_001,Tube_006,"Aug 13, 2026 7:51:21 AM",10000,,22043,8621,236,6208,4745,1032,4258,185,1481,3862
