,CENPK_ETH_vs_CENPK_EXP,HUMgE_72h_vs_CENPK_ETH,HUMgE_72h_vs_CENPK_EXP,HUMgE_72h_vs_HUMgE_ETH,HUMgE_96h_vs_CENPK_ETH,HUMgE_96h_vs_CENPK_EXP,HUMgE_96h_vs_HUMgE_72h,HUMgE_ETH_vs_CENPK_ETH,HUMgE_ETH_vs_CENPK_EXP,HUMgE_ETH_vs_HUMgE_EXP,HUMgE_EXP_vs_CENPK_EXP,HUMgE_EXP_vs_HUMg_EXP,HUMgEhE_72h_vs_CENPK_ETH,HUMgEhE_72h_vs_CENPK_EXP,HUMgEhE_72h_vs_HUMgEhE_ETH,HUMgEhE_96h_vs_CENPK_ETH,HUMgEhE_96h_vs_CENPK_EXP,HUMgEhE_96h_vs_HUMgEhE_72h,HUMgEhE_ETH_vs_CENPK_ETH,HUMgEhE_ETH_vs_CENPK_EXP,HUMgEhE_ETH_vs_HUMgEhE_EXP,HUMgEhE_EXP_vs_CENPK_EXP,HUMgEhE_EXP_vs_HUMgE_EXP,HUMgEh_EXP_vs_CENPK_EXP,HUMgEh_EXP_vs_HUMg_EXP,HUMg_EXP_vs_CENPK_EXP,LIMg_72h_vs_CENPK_ETH,LIMg_72h_vs_CENPK_EXP,LIMg_72h_vs_NER_72h,LIMg_96h_vs_CENPK_ETH,LIMg_96h_vs_CENPK_EXP,LIMg_96h_vs_LIMg_72h,LIMg_96h_vs_NER_96h,NER_72h_vs_CENPK_ETH,NER_72h_vs_CENPK_EXP,NER_96h_vs_CENPK_ETH,NER_96h_vs_CENPK_EXP,NER_96h_vs_NER_72h,NERgE_72h_vs_CENPK_ETH,NERgE_72h_vs_CENPK_EXP,NERgE_72h_vs_NERg_72h,NERgE_96h_vs_CENPK_ETH,NERgE_96h_vs_CENPK_EXP,NERgE_96h_vs_NERgE_72h,NERgE_96h_vs_NERg_96h,NERg_72h_vs_CENPK_ETH,NERg_72h_vs_CENPK_EXP,NERg_72h_vs_NER_72h,NERg_96h_vs_CENPK_ETH,NERg_96h_vs_CENPK_EXP,NERg_96h_vs_NER_96h,NERg_96h_vs_NERg_72h,VAL_72h_vs_CENPK_ETH,VAL_72h_vs_CENPK_EXP,VAL_72h_vs_NER_72h,VAL_96h_vs_CENPK_ETH,VAL_96h_vs_CENPK_EXP,VAL_96h_vs_NER_96h,VAL_96h_vs_VAL_72h,VALg_72h_vs_CENPK_ETH,VALg_72h_vs_CENPK_EXP,VALg_72h_vs_VAL_72h,VALg_96h_vs_CENPK_ETH,VALg_96h_vs_CENPK_EXP,VALg_96h_vs_VAL_96h,VALg_96h_vs_VALg_72h
GRX2,2.5464,-0.6373,1.909,-0.5295,-0.381,2.1654,0.2563,-0.1078,2.4385,1.1089,1.3296,-1.0852,-1.6023,0.9441,0.2696,-1.9381,0.6083,-0.3358,-1.8719,0.6745,-0.1798,0.8543,-0.4753,2.5171,0.1024,2.4148,-1.3256,1.2208,-0.6768,-0.4634,2.0829,0.8621,0.4717,-0.6488,1.8976,-0.9352,1.6112,-0.2864,-0.5299,2.0165,-0.2172,-0.9421,1.6042,-0.4122,-0.2722,-0.3127,2.2337,0.3361,-0.6699,1.8765,0.2652,-0.3572,-0.9918,1.5546,-0.343,-1.2361,1.3102,-0.301,-0.2443,-0.0345,2.5119,0.9573,0.27,2.8164,1.5062,0.3045
GRX4,-5.5063,-0.2828,-5.7891,3.3629,6.6461,1.1397,6.9288,-3.6457,-9.1521,-0.3701,-8.782,-9.1314,0.313,-5.1934,-4.4889,5.1044,-0.4019,4.7915,4.8018,-0.7045,0.5152,-1.2197,7.5623,0.4352,0.0858,0.3494,5.974,0.4677,0.6372,1.2422,-4.2641,-4.7318,-4.0493,5.3368,-0.1696,5.2915,-0.2148,-0.0453,1.7237,-3.7827,-4.7839,6.8809,1.3746,5.1573,0.0679,6.5076,1.0013,1.1708,6.8131,1.3067,1.5216,0.3055,5.699,0.1927,0.3622,5.5664,0.06,0.2749,-0.1326,7.0165,1.5102,1.3175,6.9488,1.4425,1.3825,-0.0677
GRX7,0.9519,-1.368,-0.416,-0.2775,-1.0016,-0.0497,0.3664,-1.0905,-0.1386,-1.4053,1.2667,1.1823,-1.4427,-0.4908,0.5783,-1.1385,-0.1866,0.3042,-2.021,-1.0691,-1.4755,0.4064,-0.8603,0.6412,0.5568,0.0845,-2.3487,-1.3967,-2.2152,-1.7345,-0.7826,0.6142,-1.1753,-0.1335,0.8184,-0.5592,0.3927,-0.4257,-1.4113,-0.4593,-0.6441,-0.6775,0.2744,0.7338,0.0004,-0.7671,0.1848,-0.6336,-0.6779,0.274,-0.1187,0.0892,0.019,0.9709,0.1525,-0.8335,0.1185,-0.2743,-0.8525,-1.1993,-0.2473,-1.2183,-1.2181,-0.2662,-0.3846,-0.0188
GRX8,1.2851,-3.0238,-1.7387,-0.6029,-3.8286,-2.5435,-0.8047,-2.4209,-1.1358,10.3763,-11.512,-9.8514,-3.6847,-2.3996,2.1781,-3.9003,-2.6152,-0.2156,-5.8628,-4.5777,10.2572,-14.8349,-3.3229,-1.9556,-0.295,-1.6607,-2.2185,-0.9334,1.8298,-1.8521,-0.567,0.3664,1.5974,-4.0483,-2.7632,-3.4495,-2.1644,0.5988,-12.1108,-10.8257,-8.3039,-3.2496,-1.9645,8.8612,-0.1597,-3.8069,-2.5218,0.2415,-3.0899,-1.8048,0.3597,0.717,-3.6391,-2.354,0.4092,-1.8216,-0.5365,1.6279,1.8175,-1.2031,0.082,2.436,-1.0278,0.2573,0.7938,0.1753
GSC2,3.3393,-1.2788,2.0605,-0.8285,-1.3723,1.967,-0.0935,-0.4502,2.8891,-2.3224,5.2114,3.0586,0.1939,3.5332,0.5659,-1.0744,2.2649,-1.2683,-0.372,2.9673,-0.7318,3.6991,-1.5124,2.5936,0.4407,2.1529,-1.3479,1.9914,-1.8283,-1.8785,1.4608,-0.5306,-1.2922,0.4804,3.8197,-0.5863,2.753,-1.0667,-0.2848,3.0545,1.3505,-1.6122,1.7271,-1.3274,0.1244,-1.6353,1.704,-2.1157,-1.7366,1.6027,-1.1503,-0.1013,0.6799,4.0192,0.1995,-1.5711,1.7682,-0.9848,-2.251,-1.7195,1.6198,-2.3994,-1.8502,1.4891,-0.2791,-0.1308
GSF2,0.7214,-0.3579,0.3635,-0.433,-0.5076,0.2138,-0.1497,0.0751,0.7965,-1.5428,2.3393,0.6839,0.8007,1.5221,0.2004,0.2971,1.0186,-0.5035,0.6002,1.3217,-0.3291,1.6508,-0.6886,1.8252,0.1698,1.6554,-0.1441,0.5774,-1.2224,0.0122,0.7337,0.1563,-0.2904,1.0784,1.7998,0.3026,1.0241,-0.7757,0.4521,1.1736,0.2305,-0.1602,0.5612,-0.6123,-0.2545,0.2216,0.9431,-0.8568,0.0943,0.8157,-0.2084,-0.1273,1.1169,1.8383,0.0385,0.0533,0.7747,-0.2494,-1.0636,0.9432,1.6647,-0.1737,1.0587,1.7801,1.0055,0.1155
GSH1,0.3091,-1.3172,-1.008,-0.7923,-1.0831,-0.7739,0.2341,-0.5249,-0.2157,1.343,-1.5587,-2.0098,-2.0511,-1.742,-0.2018,-1.2554,-0.9462,0.7958,-1.8494,-1.5402,-0.2859,-1.2543,0.3044,0.4344,-0.0167,0.4511,-0.9908,-0.6817,-0.1285,-0.8817,-0.5726,0.1091,0.2342,-0.8623,-0.5532,-1.116,-0.8068,-0.2537,-5.9808,-5.6716,-4.2581,-1.299,-0.9898,4.6818,0.1324,-1.7227,-1.4135,-0.8603,-1.4314,-1.1222,-0.3154,0.2913,0.6049,0.9141,1.4673,-0.1246,0.1846,0.9914,-0.7295,0.4991,0.8082,-0.1059,0.212,0.5211,0.3365,-0.2871
GSH2,1.1494,-0.8296,0.3198,0.0134,-0.722,0.4274,0.1076,-0.843,0.3064,3.1439,-2.8375,-3.9365,-2.2535,-1.104,-0.0464,-0.6774,0.472,1.576,-2.207,-1.0576,1.5861,-2.6437,0.1937,1.0176,-0.0814,1.099,-0.763,0.3865,2.2273,-0.7082,0.4412,0.0547,-0.1831,-2.9902,-1.8408,-0.5251,0.6243,2.4651,-1.2267,-0.0772,-0.7143,-0.5943,0.5552,0.6324,0.0033,-0.5124,0.6371,2.4779,-0.5975,0.5519,-0.0724,-0.0852,-1.7244,-0.5749,1.2659,-0.7248,0.4247,-0.1996,0.9996,-0.209,0.9404,1.5153,-0.2271,0.9223,0.4977,-0.0181
GSM1,1.5017,-0.617,0.8848,-0.2316,-0.4197,1.082,0.1973,-0.3853,1.1164,0.4544,0.662,0.1583,-0.3358,1.1659,0.7273,-1.6251,-0.1233,-1.2892,-1.0631,0.4386,0.0297,0.4089,-0.2531,0.3725,-0.1312,0.5037,-0.9185,0.5833,-0.5999,-1.5149,-0.0132,-0.5965,-1.3005,-0.3186,1.1831,-0.2145,1.2873,0.1042,-1.3238,0.178,-0.1471,-0.5911,0.9106,0.7326,-0.097,-1.1767,0.325,-0.8581,-0.4941,1.0076,-0.2797,0.6826,0.1226,1.6243,0.4412,-0.6719,0.8298,-0.4575,-0.7945,-1.0259,0.4759,-1.1484,-1.2337,0.2681,-0.5617,-0.2078
GSY1,6.363,-0.8558,5.5073,-0.4512,-1.6333,4.7297,-0.7775,-0.4046,5.9585,-0.7878,6.7462,3.8207,-0.4198,5.9432,1.3242,-2.4107,3.9524,-1.9909,-1.744,4.619,-0.2369,4.8559,-1.8903,2.9405,0.015,2.9255,-3.5326,2.8305,-1.58,-3.1038,3.2593,0.4288,-1.0561,-1.9526,4.4105,-2.0477,4.3153,-0.0951,-2.5282,3.8349,0.569,-2.5876,3.7754,-0.0594,-0.1362,-3.0971,3.2659,-1.1446,-2.4514,3.9116,-0.4037,0.6457,-2.6261,3.737,-0.6735,-3.5585,2.8046,-1.5108,-0.9324,-3.6733,2.6897,-1.0473,-3.2749,3.0882,0.2836,0.3985
