FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
20366.7,238.7,15.5,920.69995,347.19998,113.149994,621.52,35.36,4062.3098,3179.3699,51.8,427.39832,1.1760058
21161.88,251.09999,7830.5996,97403.55,11293.3,1677.1,2385.44,221.68001,2133.99,26072.93,52.1,215921.62,1057.01
68422.02,1581.0,76424.3,262143.0,103505.9,16843.85,23439.6,1969.28,10447.25,239242.67,52.1,2107330.0,3192.6294
4888.53,75.95,-29.449999,82.149994,-35.649998,-21.699999,-61.2,19.04,51.089996,235.79999,52.3,-812.05676,-18.22487
16244.64,249.54999,139.5,3016.2998,1553.1,775.0,293.76,88.4,865.91,3920.8298,52.3,3846.585,23.553484
6144.81,57.35,-31.0,-24.8,-48.05,-57.35,-35.36,43.52,7.8599997,-186.01999,52.3,-854.79663,-15.424548
53152.65,1252.3999,75144.0,262143.0,106179.65,17039.15,24383.44,2186.8801,4853.55,224820.88,52.3,2072027.0,4041.2056
12134.76,179.79999,38.75,745.55,392.15,221.65,459.68,78.88,1234.0199,2130.0598,52.5,1068.4958,8.130395
3205.08,35.649998,29.449999,124.0,-96.1,-3.1,-48.96,-1.36,87.77,51.089996,52.9,812.05676,25.272137
61919.64,2016.5499,110744.4,262143.0,154876.0,26553.049,35698.64,2846.48,10605.76,262143.0,53.0,3053675.5,5112.783
85195.62,3504.5498,105059.0,262143.0,168153.3,30001.799,60707.68,5309.44,14856.709,262143.0,53.0,2896905.8,3524.8594
91858.08,3969.5498,1257.0499,35863.9,32374.85,12916.149,4286.72,1672.8,11631.489,57233.9,53.1,34662.0,38.127686
43234.65,916.05,47862.45,262143.0,70850.5,10642.3,15200.72,1319.2001,3297.2698,143807.86,53.7,1319763.2,3164.2788
72688.5,2762.0999,121737.0,262143.0,213018.05,43305.45,86880.88,7327.68,23383.498,262143.0,53.7,3356786.5,4787.571
23235.96,410.75,4916.5996,59256.5,6781.25,906.75,1772.0801,127.840004,2858.42,17328.68,53.8,135570.73,603.99695
73970.01,1460.1,60150.848,262143.0,84723.0,13255.6,20098.08,1834.64,9714.96,189157.44,53.9,1658604.6,2324.065
23456.07,558.0,114.7,2390.0999,1317.5,367.34998,588.88,63.920002,656.31,2710.39,54.0,3162.7476,12.981609
26722.05,500.65,18226.45,220596.0,24417.148,3675.0498,4071.84,450.16,2897.72,55101.22,54.0,502577.66,1949.2095
28847.46,475.84998,16403.65,199516.0,22237.85,4248.55,3903.2,443.36002,2730.0398,51371.65,54.1,452315.66,1624.8553
37872.84,680.44995,33867.5,262143.0,47712.098,7446.1997,12952.64,1141.04,5550.4697,107906.01,54.3,933865.3,2555.8442
5023.38,327.05,0.0,51.149998,91.45,-32.55,58.48,-69.36,15.719999,-68.119995,54.3,0.0,-1.0
9522.15,91.45,-23.25,13.95,-49.6,20.15,-31.28,9.52,5.24,77.28999,54.6,-641.0975,-7.98131
11693.67,113.149994,6.2,675.8,299.15,161.2,777.92,53.04,1744.9199,1351.9199,54.9,170.95932,0.51596737
23498.7,421.59998,23.25,1737.5499,1055.5499,4.6499996,182.24,51.68,651.06995,2773.2698,55.1,641.0975,1.8289685
45527.97,978.05,34155.8,262143.0,43184.547,6764.1997,9858.64,830.96,4430.42,103114.02,55.3,941814.94,2144.039
18645.84,361.15,9.299999,705.25,593.64996,-20.15,1034.96,89.76,2365.8599,2056.7,55.4,256.43896,0.4260999
