Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
56.8,49362.93,602.94995,66814.3,262143.0,83538.8,10372.6,2692.8,224.40001,3083.7397,215844.77,1842343.1,3869.058
56.9,49907.55,491.34998,52169.9,262143.0,65448.746,7856.9497,1577.6,183.6,2762.7898,171075.52,1438537.2,2987.8403
56.9,50493.06,612.25,64411.797,262143.0,80688.34,10042.449,1931.2001,202.64,3112.5598,208570.33,1776096.4,3646.3945
56.9,49336.832,695.94995,46337.25,262143.0,60071.797,8267.7,3844.72,225.76001,3848.7798,156009.2,1277707.2,2684.3938
56.9,50915.88,1395.0,107294.09,262143.0,137739.2,18424.85,3220.48,367.2,5445.67,262143.0,2958536.5,6024.201
56.9,50123.31,533.2,71498.4,262143.0,91412.8,10364.85,2197.76,209.44,3857.95,231935.48,1971502.9,4077.5476
57.0,59913.42,570.39996,80724.0,262143.0,102304.65,13099.05,1679.6,242.08,3509.4897,262143.0,2225890.5,3851.366
57.0,51676.26,533.2,52038.15,262143.0,66778.65,7543.8496,1694.56,184.96,2397.2998,164622.45,1434904.4,2878.2524
57.1,69775.74,1424.45,182886.05,262143.0,232724.75,28409.95,5748.72,610.64,7362.1997,262143.0,5042915.5,7493.1973
57.1,52245.242,695.94995,97295.05,262143.0,124810.65,15823.949,3125.28,145.52,4921.67,262143.0,2682822.0,5323.674
57.1,52857.72,568.85,58879.848,262143.0,73229.75,8969.85,2165.12,307.36002,2879.38,190915.47,1623558.0,3183.9841
57.1,32014.26,327.05,36767.55,262143.0,45345.25,6175.1997,1075.76,77.520004,1547.11,120632.66,1013831.56,3282.7512
57.1,16715.31,203.04999,243.34999,2473.7998,416.94998,125.549995,65.28,39.44,613.07996,2496.8599,6710.1533,40.626114
57.1,8917.5,134.84999,9642.55,120005.65,13438.5,2540.45,516.8,61.2,1167.21,34987.477,265884.5,3090.7031
57.1,53833.86,677.35,66969.3,262143.0,86745.75,10307.5,1815.6,134.64,3218.67,219934.58,1846617.1,3555.8801
57.2,34697.34,466.55,36817.15,262143.0,46376.0,5851.25,1040.4,118.32,2191.63,122651.37,1015199.2,3032.9119
57.2,55158.0,937.75,115786.55,262143.0,144591.75,16868.65,3806.6401,416.16,5545.23,262143.0,3192708.0,6001.0356
57.2,31989.03,1120.65,111679.05,262143.0,142631.0,17756.799,2992.0,261.12,5863.5596,262143.0,3079447.5,9981.048
57.3,51964.23,717.64996,71696.8,262143.0,88554.59,11098.0,1564.0,152.32,3484.5999,233917.52,1976973.6,3943.975
57.3,49148.04,668.05,77416.3,262143.0,94615.09,11691.649,2131.12,210.8,3102.0798,251210.83,2134683.5,4502.7593
57.3,88505.97,1523.6499,156198.14,262143.0,191352.14,24682.2,3888.24,429.76,6885.36,262143.0,4307021.0,5045.059
57.4,48242.37,562.64996,48036.047,262143.0,60849.9,7977.8496,1774.8,171.36,1995.1299,158460.22,1324550.0,2846.0007
57.5,70240.32,806.0,88418.195,262143.0,108957.25,14464.6,2252.16,252.96,4366.23,262143.0,2438050.8,3598.1848
57.5,67536.36,775.0,102045.8,262143.0,129114.99,14647.5,2616.6401,227.12,5154.8496,262143.0,2813819.5,4319.226
57.5,53204.85,451.05,49782.9,262143.0,63071.047,8269.25,2624.8,242.08,2388.13,162273.62,1372717.9,2674.3335
57.5,50707.95,593.64996,50130.098,262143.0,62187.547,7356.3,1335.52,289.68,2562.3599,163663.53,1382291.6,2825.6467
57.6,88633.86,1374.85,150303.5,262143.0,184040.8,24083.898,3870.56,556.24,7199.76,262143.0,4144481.5,4847.623
57.6,48166.68,435.55,36927.2,262143.0,46977.4,6527.05,2163.76,190.40001,2216.52,121053.164,1018233.75,2191.041
57.7,65194.32,933.1,99634.0,262143.0,122205.09,16778.75,3085.84,337.28,5440.4297,262143.0,2747316.5,4368.6514
57.7,64395.66,1336.1,163658.3,262143.0,202228.5,27462.898,6635.44,602.48,7294.0796,262143.0,4512728.0,7265.5864
57.7,51080.31,494.44998,61899.25,262143.0,74629.4,9444.149,1500.08,150.96,3209.4998,203215.05,1706815.2,3463.8215
57.8,45851.61,578.14996,66353.945,262143.0,82873.84,10054.85,1797.92,91.12,2575.46,214144.38,1829649.4,4136.7207
57.8,28535.13,286.75,40.3,1167.15,731.6,114.7,174.08,69.36,332.74,1696.45,1111.2356,3.038073
57.8,68756.97,937.75,111104.0,262143.0,137869.39,18807.7,3632.56,334.56,4946.5596,262143.0,3063591.2,4619.213
57.8,40923.93,446.4,56323.9,262143.0,69920.5,8774.55,1436.16,142.8,2716.94,181686.52,1553080.0,3934.178
57.9,58612.77,756.39996,104414.195,262143.0,127630.09,17311.95,3574.08,349.52,5161.4,262143.0,2879126.0,5092.5
58.0,38241.72,440.19998,51559.2,262143.0,65989.695,9648.75,1059.4401,221.68001,2515.2,167060.36,1421697.8,3853.9412
