FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
151.9,16107.18,4188.5034,25.964184
-1.55,11734.561,-42.73983,-1.3776712
-41.85,9831.0,-1153.9755,-13.171575
127.1,19664.61,3504.6663,17.480309
-35.649998,17694.93,-983.01605,-6.760493
246.45,18931.2,6795.6333,36.221996
49.6,28737.84,1367.6746,3.9348793
144.15,45266.1,3974.8042,8.105222
144.15,16764.9,3974.8042,23.58457
71.299995,17769.75,1966.0321,10.472476
246.45,31851.57,6795.6333,21.12315
68.2,17866.32,1880.5525,9.914358
12.4,11102.94,341.91864,2.193248
325.5,18357.0,8975.364,49.698868
91.45,30076.77,2521.65,7.693637
213.9,18689.34,5898.0967,31.723957
116.25,18369.18,3205.4873,17.094732
89.899994,20670.33,2478.9102,11.435443
240.25,19488.0,6624.674,34.248863
187.54999,12394.0205,5171.5195,42.26671
65.1,15312.87,1795.0729,11.155515
80.6,9623.07,2222.4712,22.948061
46.5,18828.541,1282.195,6.0613103
153.45,10636.62,4231.243,40.248882
215.45,20718.18,5940.8364,28.733353
63.55,26296.621,1752.3331,5.9097857
654.1,19655.91,18036.209,94.14807
38.75,21682.14,1068.4958,4.1099725
66.65,14363.7,1837.8129,12.267309
272.8,9921.48,7522.21,77.617065
389.05,21236.7,10727.697,51.380226
-20.15,12327.03,-555.6178,-5.673751
65.1,19356.63,1795.0729,8.616127
26.349998,19802.94,726.5771,2.8045204
15.5,20311.02,427.39832,1.1819711
164.29999,19188.72,4530.422,23.48164
46.5,23205.51,1282.195,4.729422
103.85,16991.1,2863.5686,16.475676
106.95,18246.51,2949.0483,15.759071
82.149994,14903.1,2265.211,14.76086
99.2,17037.21,2735.349,15.648003
99.2,17453.94,2735.349,15.250517
362.69998,17601.84,10001.12,57.916702
32.55,6862.56,897.53644,12.561689
77.5,10839.33,2136.9917,19.443172
99.2,15469.47,2735.349,17.335182
-17.05,8505.99,-470.13812,-6.7312384
48.05,23005.41,1324.9348,4.9718986
110.049995,16251.6,3034.5278,18.361673
224.75,14337.6,6197.276,43.82004
959.44995,17051.13,26455.955,159.88596
80.6,17941.14,2222.4712,11.844996
5831.0996,14132.28,160787.23,1178.7424
10.849999,11506.62,299.1788,1.6960685
6.2,7020.0303,170.95932,1.5252342
127.1,16724.88,3504.6663,20.728588
26.349998,14435.04,726.5771,4.219292
210.79999,16326.42,5812.6167,35.917187
79.049995,21598.621,2179.7312,9.464652
175.15,21698.67,4829.601,22.079481
35.649998,18762.42,983.01605,4.432749
-37.199997,14253.21,-1025.7559,-8.462412
111.6,12401.85,3077.2678,24.729227
68.2,14597.73,1880.5525,12.358202
178.25,21405.48,4915.0806,22.809679
