Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
54.6,51744.992,1815.6599,125112.68,262143.0,170582.72,26315.52,22332.56,2034.56,10077.4795,262143.0,3449867.8,6912.2456
54.6,9989.34,129.36,97.02,1347.5,1290.52,321.86,816.0,100.64,619.19995,1938.87,2675.2375,26.769844
54.7,54028.742,582.12,42055.86,262143.0,58772.56,9463.3,6802.72,569.84,4057.0498,133745.9,1159651.9,2224.6182
54.8,49555.2,1359.82,115124.234,262143.0,157121.58,24900.26,20646.16,1935.28,9940.739,262143.0,3174445.5,6641.423
54.8,69954.09,2377.76,138581.52,262143.0,194820.78,32116.7,32845.36,3032.8,15585.779,262143.0,3821258.5,5663.2334
55.0,5016.42,117.03999,3.08,381.91998,489.72,331.1,-42.16,-28.56,58.05,254.12999,84.92818,0.7555201
55.0,29659.17,421.96,43021.438,262143.0,56875.277,8790.319,6506.24,582.08,2632.89,137103.78,1186276.8,4146.39
55.1,17870.67,485.09998,5123.58,66169.18,10698.38,2942.94,6155.36,499.12,2106.5698,24249.42,141278.03,818.7505
55.1,42238.5,739.19995,80466.54,262143.0,105556.22,15007.3,11568.16,1122.0,5427.03,254722.11,2218791.2,5445.981
55.2,30449.13,495.87997,54483.66,262143.0,71034.04,9487.939,6669.44,697.68,3461.0698,168800.36,1502337.1,5115.1157
55.2,74196.21,1481.48,169922.06,262143.0,218456.69,35105.84,23696.64,2196.4,10722.4795,262143.0,4685445.5,6547.1265
55.2,25244.791,314.16,23287.879,262143.0,30083.898,3235.54,3419.04,233.92,1542.84,73024.32,642141.94,2636.589
55.2,26822.1,397.31998,33913.88,262143.0,47783.117,6361.7397,6272.32,718.08,2992.7998,108225.836,935144.2,3614.2112
55.5,57362.582,1735.58,154335.72,262143.0,206490.89,32992.96,24187.6,2090.32,12916.77,262143.0,4255666.5,7691.842
55.6,59167.832,2071.3,181268.78,262143.0,256333.0,42847.418,34869.04,3250.4001,22728.51,262143.0,4998321.0,8758.642
55.6,71932.47,2105.18,206775.8,262143.0,262143.0,41336.68,28992.48,2528.24,17351.79,262143.0,5701653.5,8218.09
55.6,88687.8,3080.0,262143.0,262143.0,262143.0,58225.86,41020.32,3843.36,30451.738,262143.0,7228353.5,8450.297
55.9,36196.35,594.44,54539.098,262143.0,73818.36,10093.16,7742.48,752.08,4499.52,168826.17,1503865.8,4307.163
55.9,89138.46,2128.28,221165.55,262143.0,262143.0,44698.5,33620.56,3054.56,22314.42,262143.0,6098437.5,7093.166
55.9,22608.69,297.22,26292.42,262143.0,36866.06,5502.42,4119.44,427.04,2545.17,82553.55,724989.44,3324.0957
55.9,27798.24,411.18,44299.64,262143.0,59805.9,8434.58,6216.56,595.68,3034.0798,141114.39,1221522.1,4555.5054
55.9,16008.0,272.58,2066.68,27575.24,7598.36,2334.64,5922.8003,557.6,3116.64,18000.66,56986.81,368.13492
56.1,10196.4,221.76,415.8,6180.02,3269.42,859.32,2673.76,293.76,1767.2999,7924.4697,11465.305,115.59679
56.1,19622.85,697.62,56778.258,262143.0,82046.58,13088.46,17587.52,1566.72,8293.41,195642.69,1565608.5,8272.113
56.3,43474.77,1573.88,262143.0,262143.0,262143.0,53719.82,23279.121,2325.6,14553.779,262143.0,7228353.5,17239.506
56.4,92337.45,1823.36,182440.72,262143.0,241636.78,35908.18,28906.8,2388.16,14076.4795,262143.0,5030636.0,5648.2773
56.4,23066.31,454.3,292.6,4764.76,1094.94,292.6,10.88,9.52,540.51,2498.73,8068.1777,35.269806
56.4,12560.19,141.68,332.63998,5320.6997,1903.44,693.0,1003.68,140.08,1071.99,4856.85,9172.243,74.72289
56.4,21215.82,240.23999,1593.8999,22125.18,4590.7397,1470.7,3398.6401,368.56,1424.1599,10650.239,43950.332,213.80789
56.5,43395.6,1053.36,96736.64,262143.0,129529.4,19886.02,14486.72,1316.48,6986.6396,262143.0,2667424.2,6372.739
56.6,71215.59,856.24,97335.695,262143.0,129681.86,18168.92,16955.121,1538.16,8919.06,262143.0,2683942.8,3906.9233
56.6,103661.37,2216.06,133407.11,262143.0,188212.64,28553.139,34273.36,3000.16,16784.19,262143.0,3678579.0,3678.6885
56.6,26244.42,397.31998,34961.08,262143.0,49049.0,6406.4,7354.88,550.8,2714.16,109012.734,964019.75,3807.8757
