Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
54.3,67638.15,1700.1599,155580.03,262143.0,216095.88,32698.818,24707.121,2227.68,13382.46,262143.0,4289977.0,6575.747
54.3,13190.94,354.19998,16619.68,220315.47,35888.16,6856.0796,7813.2,511.36002,4902.0,63553.137,458272.47,3601.4329
54.4,80715.99,3351.04,201056.23,262143.0,262143.0,43592.777,40056.082,3625.76,23716.648,262143.0,5543941.5,7121.081
54.4,33076.53,770.0,91372.82,262143.0,124709.195,18697.139,15918.8,1538.16,8483.04,262143.0,2519522.0,7897.527
54.4,39397.95,543.62,44205.7,262143.0,59647.277,9081.38,6147.2,470.56,5085.1797,140804.78,1218931.8,3207.1426
54.7,24796.74,375.75998,9164.54,122463.875,19556.459,3438.8198,6062.88,399.84,1527.36,30975.479,252703.81,1055.7325
54.7,61516.832,1253.5599,128640.82,262143.0,172945.08,25557.84,19639.76,1636.0801,10237.439,262143.0,3547153.0,5978.0728
54.7,66599.37,1538.46,131600.7,262143.0,187627.44,26281.639,22574.64,2124.32,11377.8,262143.0,3628769.0,5648.852
54.8,41558.16,853.16,75056.516,262143.0,101826.336,15148.9795,12476.64,1119.28,6508.05,237380.64,2069614.8,5162.9385
54.8,46786.86,777.69995,67284.14,262143.0,87122.414,14026.319,11536.88,987.36,5160.0,208933.55,1855298.6,4110.855
54.8,75714.36,1649.34,147441.14,262143.0,196496.3,30039.238,22623.6,1976.0801,11824.14,262143.0,4065554.5,5566.874
54.9,21616.89,340.34,518.98,7077.84,1641.64,743.82,133.28,-53.04,401.19,3870.0,14310.398,67.6446
54.9,6903.45,212.51999,1373.6799,18344.48,4162.62,939.39996,2348.72,242.08,1366.11,9337.02,37877.97,567.9425
54.9,70581.36,1041.0399,100161.59,262143.0,133505.67,19847.52,16005.84,1574.88,7053.7197,262143.0,2761864.2,4056.5156
55.0,40992.66,751.51996,62799.66,262143.0,85463.836,12494.02,9564.88,829.60004,3075.3599,195833.61,1731643.1,4379.2627
55.0,19866.45,388.08,297.22,4456.76,811.57996,281.82,8.16,-20.4,448.91998,2305.23,8195.569,41.77665
55.1,52179.992,976.36,89926.76,262143.0,125054.16,18729.48,17707.2,1451.12,7233.03,262143.0,2479648.0,4926.5825
55.1,9208.08,152.45999,435.81998,6178.48,2018.94,274.12,1671.4401,78.88,851.39996,5434.77,12017.337,134.3278
55.1,47013.06,1476.86,175811.02,262143.0,242802.55,34092.52,22984.0,1939.36,15521.279,262143.0,4847828.0,10691.434
55.1,101455.05,2271.5,262143.0,262143.0,262143.0,51639.277,31552.0,3121.2,22088.67,262143.0,7228353.5,7386.774
55.2,8202.36,462.0,1104.1799,17284.959,8494.64,2497.88,4908.24,533.12,3681.66,17768.459,30446.752,383.90186
55.2,53880.84,773.07996,69895.98,262143.0,97287.96,17856.299,13795.84,1044.48,6410.01,222166.38,1927317.6,3708.0854
55.4,79452.75,1442.98,134874.73,262143.0,185557.67,26123.02,21112.64,1981.52,12653.609,262143.0,3719047.5,4852.675
55.4,15863.58,565.18,65400.72,262143.0,114468.195,19889.1,12191.04,1054.0,5950.77,204268.9,1803365.0,11786.733
55.4,30909.36,466.62,46397.117,262143.0,62137.457,9352.42,6959.12,601.12,3895.7998,146022.83,1279358.1,4290.9043
55.5,48198.0,1321.32,102437.72,262143.0,139989.08,21649.32,20712.8,1763.92,14213.22,262143.0,2824626.5,6075.869
55.5,72921.664,1353.6599,158133.36,262143.0,214933.17,32349.238,22993.52,2264.4,13867.5,262143.0,4360382.5,6199.3457
55.6,25326.57,346.5,35058.098,262143.0,49241.5,7179.48,6205.68,591.60004,3600.39,109746.75,966695.0,3956.8652
55.6,64005.03,1720.1799,197669.78,262143.0,262143.0,44016.277,29720.08,2759.44,16468.139,262143.0,5450563.5,8829.295
55.7,47923.95,1538.46,181581.39,262143.0,248066.28,36579.617,23689.84,2122.96,16118.55,262143.0,5006940.5,10832.473
55.7,14646.45,192.5,304.91998,4983.44,2319.24,412.72,197.2,46.24,921.06,6106.86,8407.89,58.52543
55.8,41167.53,777.69995,73491.875,262143.0,98307.44,16068.359,12021.04,1218.56,5655.36,233043.66,2026471.2,5103.268
55.8,30375.18,371.13998,55932.797,262143.0,74095.555,11038.72,7314.08,688.16003,3912.5698,173862.33,1542295.8,5263.9795
55.8,54504.63,833.13995,84589.12,262143.0,115532.336,18381.44,13702.0,1153.28,6222.96,262143.0,2332467.5,4436.4155
