FITC-A
1633.7
260.4
1776.2999
14345.25
1191.95
76202.65
5022.0
2807.0498
212.34999
2715.5999
10448.55
398.34998
1788.7
894.35
1598.0499
1401.2
4690.3
3104.65
689.75
3785.0999
17468.5
13140.899
767.25
2472.25
2077.0
33340.5
5877.5996
34842.45
1669.35
8766.8
3265.8499
2700.0999
60667.0
27638.049
6455.75
2543.5498
3732.4
34875.0
77538.75
3836.25
-31.0
29536.799
2678.4
4753.85
3496.7998
1658.5
1213.6499
3030.25
51706.45
28369.648
9152.75
11941.199
7319.0996
1627.5
1427.5499
3853.2998
2317.25
114.7
2027.3999
998.19995
664.94995
2489.2998
15354.3
2670.65
29521.299
19561.0
1148.5499
24207.898
59061.2
1244.6499
970.3
1540.7
1839.85
67567.6
1748.3999
3938.5498
1608.8999
708.35
7340.8
5637.3496
8881.5
153.45
3878.0999
4746.1
62111.598
1584.1
20349.95
1953.0
14002.699
12093.1
3935.45
24003.299
1297.35
4152.4497
5079.3496
2013.45
802.89996
527.0
771.89996
34228.65
973.39996
86913.15
1209.0
491.34998
647.89996
788.94995
908.3
1385.7
3974.2
36457.55
3050.4
971.85
12624.75
6671.1997
16180.449
733.14996
7229.1997
39207.25
1886.35
2731.0999
2055.3
44125.4
2653.5999
1625.95
322.4
598.3
1827.45
1061.75
76563.8
3712.25
54183.348
4543.05
1055.5499
16192.85
8907.85
2337.4
686.64996
801.35
130.2
4353.9497
81576.5
1174.9
2276.95
520.8
9565.05
41164.9
8926.45
9413.149
15692.199
68558.05
2986.8499
2924.8499
6368.9497
844.75
37209.3
7787.1997
1027.65
12134.949
49418.65
525.45
17101.15
20291.049
6249.5996
27382.299
457.25
1173.35
2613.2998
3323.2
1469.3999
1993.2999
34974.2
2850.45
373.55
13340.85
399.9
59079.797
2410.25
3523.15
4656.1997
4820.5
1365.5499
1460.1
1385.7
18998.35
20971.5
747.1
1866.2
934.64996
2625.7
695.94995
2648.95
573.5
65327.848
480.5
1695.7
33235.098
13362.55
36965.95
2194.8
5201.8
15176.05
10571.0
1639.8999
3386.75
1260.1499
330.15
12834.0
1887.8999
1821.25
178.25
429.34998
1449.25
527.0
22278.148
20858.35
1188.85
1334.5499
15992.899
9828.55
29904.148
663.39996
406.09998
1612.0
821.5
71.299995
1353.1499
47828.348
988.89996
705.25
11353.75
1174.9
12674.35
434.0
1326.7999
4932.0996
1005.94995
34599.098
17260.799
7892.5996
3149.5999
254.2
12410.85
6293.0
20191.85
564.2
364.25
1922.0
6217.05
25672.648
930.0
739.35
1844.5
1315.95
4527.55
3662.65
