FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
260.52,23276.85,1152.8438,4.1356344
602.16,35349.84,2664.6567,6.8163085
171.59999,22029.27,759.35815,2.5743284
355.68,15597.36,1573.9424,9.463708
422.75998,31405.26,1870.7823,5.176874
528.83997,48153.63,2340.2036,4.0393267
237.12,30713.61,1049.2949,2.5425386
525.72,20099.61,2326.3972,11.001738
255.84,20969.61,1132.134,4.59829
3837.5999,20147.46,16982.01,86.40105
287.03998,23787.541,1270.1991,4.536944
463.31998,28786.56,2050.267,6.385307
787.8,47866.53,3486.1443,6.551988
146.64,17694.93,648.90607,2.802602
140.4,17971.59,621.293,2.5847416
546.0,33769.92,2416.1396,6.4189057
611.51996,24922.89,2706.0762,10.258733
1374.36,27094.41,6081.7686,22.27545
5516.1597,54704.73,24409.912,45.2689
126.35999,8364.18,559.1637,5.9320793
-7.7999997,4147.29,-34.51628,-1.8629934
210.59999,19255.71,931.9396,4.018525
595.92,37200.332,2637.0437,6.350526
411.84,19803.81,1822.4596,8.542387
215.28,46617.21,952.64935,1.1190181
879.83997,23640.51,3893.4363,16.077494
23.4,17394.78,103.54884,-0.38273138
917.27997,51222.992,4059.1145,7.217018
644.27997,16364.7,2851.0447,17.065245
691.07996,37398.69,3058.1423,7.479089
232.43999,20438.041,1028.5851,4.218538
24.96,6208.32,110.452095,0.84479356
156.0,20097.0,690.3256,2.561809
258.96,8925.33,1145.9404,12.313297
572.51996,29321.61,2533.4949,7.959424
165.36,16844.07,731.7452,3.5046463
291.72,22178.041,1290.9089,5.035598
1450.7999,42529.082,6420.028,14.653044
333.84,19347.93,1477.2968,6.9173737
346.31998,15686.97,1532.5228,9.130148
120.119995,16221.15,531.5507,2.3979027
70.2,15524.28,310.6465,1.0749273
221.51999,18510.99,980.2623,4.491115
581.88,39234.39,2574.9146,5.8052454
400.91998,16657.89,1774.1367,10.043709
1093.5599,44699.73,4839.182,10.225739
340.08,15312.0,1504.9098,9.191226
233.99998,20847.81,1035.4884,4.1503015
4263.48,52635.87,18866.6,36.167187
589.68,33823.86,2609.431,6.9996414
40.559998,7107.0303,179.48465,1.6187077
191.87999,17181.63,849.10046,4.1243944
644.27997,21950.97,2851.0447,12.467847
216.84,15733.08,959.5526,5.324161
1620.84,18517.08,7172.483,39.164734
1692.6,38587.11,7490.0327,19.127478
572.51996,14627.311,2533.4949,16.959879
243.35999,16459.53,1076.908,5.784363
1131.0,36887.13,5004.861,13.069057
126.35999,15257.19,559.1637,2.8002508
502.31998,8809.62,2222.8484,25.163782
450.84,21613.41,1995.041,8.571421
1826.7599,33369.72,8083.7124,24.119223
223.07999,16403.85,987.1656,5.240108
205.92,21733.47,911.2298,3.3475714
221.51999,18090.78,980.2623,4.6186624
313.56,10229.46,1387.5544,13.065177
828.36,20524.17,3665.629,17.519566
689.51996,45117.332,3051.239,6.0126266
280.8,25862.49,1242.586,3.9820032
205.92,6083.04,911.2298,14.532992
624.0,34730.4,2761.3025,7.2442684
620.88,22756.59,2747.496,11.519235
269.88,22293.75,1194.2633,4.5547543
382.19998,21126.21,1691.2977,7.301304
297.96,20614.65,1318.5219,5.6322246
613.07996,31504.44,2712.9795,7.929407
881.39996,26777.73,3900.3396,14.103463
411.84,13578.96,1822.4596,12.916797
4015.44,21803.94,17768.98,83.50364
672.36,13019.55,2975.3035,22.696444
427.43997,25317.0,1891.4921,6.7471175
333.84,18253.47,1477.2968,7.392091
365.03998,34159.68,1615.3618,3.9034743
188.76,14157.51,835.29395,5.1178713
221.51999,18214.32,980.2623,4.580553
285.47998,19798.59,1263.2958,5.616353
285.47998,15358.98,1263.2958,7.5288515
638.04,47196.63,2823.4316,5.203177
647.39996,39511.92,2864.851,6.5183363
216.84,9974.55,959.5526,8.975241
575.63995,10785.39,2547.3013,23.490202
606.83997,37747.56,2685.3665,6.376707
110.759995,18855.51,490.13116,1.6953919
257.4,20342.34,1139.0372,4.806105
478.91998,28843.98,2119.2996,6.618773
93.6,14779.561,414.19537,1.9059732
368.15997,18781.56,1629.1683,7.994606
511.68,42011.43,2264.268,4.5886674
1382.1599,39083.88,6116.2847,15.226988
90.479996,15434.67,400.38885,1.6898777
46.8,9651.78,207.09769,1.2249267
