FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
89275.05,1981.3401,74826.2,262143.0,106301.56,17061.191,36650.24,3342.8,16510.56,242616.02,45.3,2063264.1,2395.4734
19624.59,395.64,9522.051,115541.016,11701.21,1171.2201,1337.12,101.38,1734.4801,30815.4,45.3,262561.84,1386.3271
21742.17,310.86002,9385.46,113354.0,13735.931,2166.6,3644.2,423.33,2022.2401,32189.521,45.5,258795.47,1233.2458
60410.19,993.81006,42870.42,262143.0,59171.73,8682.101,19918.43,1708.39,7138.56,139508.17,47.7,1182112.6,2028.0677
20858.25,271.61002,9368.19,113313.19,12366.891,1577.8501,3699.0,279.48,1899.4801,28809.002,49.4,258319.28,1283.1827
4318.68,175.84001,108.33,2165.03,1844.7501,745.75,506.9,130.15,431.64,2605.6802,52.2,2987.1006,70.721054
63075.87,1298.39,44766.98,262143.0,61872.133,9591.13,17182.541,1605.64,9332.4,141253.2,52.5,1234408.5,2028.2872
56549.13,1009.51,37198.01,262143.0,56224.844,9212.761,22910.51,2015.27,7572.8403,124795.445,52.5,1025701.1,1879.8009
128738.25,8019.56,262143.0,262143.0,262143.0,69108.266,153630.44,13664.38,57892.562,262143.0,52.6,7228353.5,5821.1
18839.85,419.19,310.86002,2899.79,946.71,78.5,135.63,-54.8,365.64,2335.08,53.1,8571.681,46.17766
131199.48,3600.01,172389.14,262143.0,230697.38,37618.77,56644.02,4829.25,34037.52,262143.0,53.4,4753473.0,3755.8752
75963.18,3359.8,114090.336,262143.0,164488.9,25919.13,55969.98,4971.73,19893.72,262143.0,55.0,3145936.8,4293.323
17262.541,141.3,390.93002,5111.9204,2942.1802,615.44,5821.13,502.79,1114.0801,5138.7603,55.1,10779.538,63.750526
21924.871,423.90002,19601.451,241031.12,30103.182,5028.71,11910.78,1191.9,4212.12,66194.04,55.3,540492.06,2555.2312
17930.7,524.38,189.97,3091.33,612.30005,237.07,94.53,-64.39,237.6,1525.92,55.6,5238.249,29.292616
85760.25,4039.61,124832.27,262143.0,187150.28,32634.021,78165.35,6965.08,21460.56,262143.0,55.7,3442135.8,4160.883
11988.6,119.32001,276.32,3659.6702,876.06006,309.29,47.95,32.88,531.96,2756.1602,56.9,7619.2715,64.90113
97732.32,4611.0903,166691.61,262143.0,235534.55,37033.16,69663.13,6311.59,28406.4,262143.0,57.2,4596368.5,4875.6826
39321.39,789.71,24754.191,262143.0,34211.87,4064.7302,13195.84,954.89,8032.2,86048.164,57.7,682574.2,1798.985
25261.32,507.11002,22703.771,262143.0,32343.57,4162.0703,10413.37,1065.86,4006.2002,76016.164,58.4,626035.75,2568.7505
56814.48,2020.5901,82461.11,262143.0,118520.875,16729.92,40154.7,3309.92,12113.641,262143.0,58.7,2273789.8,4148.914
24286.05,464.72,3074.06,37961.03,11699.641,2943.75,13697.26,1316.57,3627.36,19888.441,60.1,84764.39,360.9132
51611.01,1860.4501,60452.85,262143.0,88075.43,15883.69,31001.73,2271.46,11338.801,196608.73,60.3,1666932.1,3348.0637
28817.88,489.84003,14904.011,179009.84,20209.041,3061.5,5849.9,617.87,3293.4001,46877.16,61.1,410964.47,1477.7343
19875.15,423.90002,562.06,6860.9004,1142.9601,441.17,283.59,30.14,476.52002,2973.9602,62.0,15498.29,79.85767
42714.39,651.55005,18237.121,220252.17,24419.781,4565.56,6514.35,645.27,5249.64,61139.76,62.1,502871.94,1219.7622
139492.33,4027.05,115341.625,262143.0,163469.97,25956.81,48119.88,4311.39,18634.441,262143.0,62.1,3180439.8,2363.203
45251.31,865.07,26354.021,262143.0,40363.133,7474.77,14187.72,1209.71,6479.8804,91788.84,62.2,726688.06,1664.1937
98468.34,3317.4102,122780.28,262143.0,181744.78,28426.422,65596.97,5838.94,26051.521,262143.0,62.7,3385554.0,3564.176
110870.19,3778.9902,124381.69,262143.0,172941.78,27065.23,50011.85,4231.93,28237.441,262143.0,63.2,3429711.2,3206.6772
12098.22,368.95,2135.2,27966.41,9123.2705,2455.48,14426.1,1089.15,5149.3203,14984.641,64.7,58876.184,503.62186
63046.29,1998.6101,61952.203,262143.0,90417.875,13326.16,30274.26,2629.03,16102.681,205046.17,65.6,1708275.4,2808.611
10774.95,139.73001,2862.11,34178.902,3611.0,579.33,1128.88,38.36,859.32,9096.12,65.9,78920.07,758.4865
159330.94,6355.3604,262143.0,262143.0,262143.0,53916.94,86620.99,7400.74,37656.96,262143.0,66.0,7228353.5,4703.215
103923.24,1910.6901,87453.71,262143.0,121318.62,19267.041,37265.37,3361.98,9418.2,262143.0,66.0,2411456.0,2405.1047
33543.72,621.72003,2701.97,36241.883,9774.82,2651.73,5069.0,472.65,3578.5203,21220.32,67.0,74504.35,229.31291
30599.64,475.71002,14246.181,174692.33,19202.67,3596.87,5419.72,564.44,3340.9202,46357.082,67.8,392825.4,1330.1627
132675.0,6130.85,262143.0,262143.0,262143.0,64264.812,117704.92,10159.92,46652.76,262143.0,68.4,7228353.5,5648.346
16124.58,141.3,519.67004,6829.5,2320.46,948.28,3082.5,334.28,748.44,4194.96,68.5,14329.426,91.1485
24259.95,488.27002,725.34,9721.44,1846.3201,510.25003,191.8,-6.85,617.76,4818.0,68.6,20000.588,84.48713
179306.12,7432.3804,260051.67,262143.0,262143.0,58515.473,89796.65,7735.02,42164.76,262143.0,69.8,7170687.0,4145.804
6572.85,248.06001,2807.1602,34718.98,9054.19,2022.16,11006.58,842.55,2960.76,14620.32,69.9,77404.875,1220.1316
132484.47,2645.4502,82007.38,262143.0,121240.12,17737.861,34985.69,2945.5,16798.32,262143.0,70.1,2261278.5,1768.8522
3808.86,94.200005,83.21,1667.3401,1139.8201,238.64001,282.22,61.65,459.36002,1762.2001,70.3,2294.4397,61.46396
94207.95,5713.23,242320.1,262143.0,262143.0,52161.684,92298.27,7977.5103,31159.922,262143.0,70.5,6681755.0,7353.461
29607.84,1365.9,1529.18,25214.201,11212.94,3425.7402,2002.9401,628.83,3934.9202,20251.441,71.7,42165.742,146.67294
19785.541,182.12001,433.32,5504.4204,1727.0,183.69,191.8,23.29,678.48004,4305.8403,72.0,11948.402,61.61953
24982.92,467.86002,2353.4302,30338.682,8302.16,1923.2501,9251.61,682.26,2288.8801,15244.681,72.0,64893.684,268.34387
114320.61,3052.08,136180.23,262143.0,195491.7,29668.291,56730.332,5269.02,22770.0,262143.0,72.2,3755045.5,3404.9521
50372.13,2240.3901,1136.68,18125.65,7823.31,2466.47,1608.38,298.66,3883.4402,20618.4,73.5,31342.912,63.52038
86116.95,5115.06,153789.36,262143.0,235121.64,42292.66,98130.36,8802.25,42774.6,262143.0,73.8,4240601.0,5105.0684
87060.9,3676.9402,158298.39,262143.0,217737.03,33723.6,62902.18,5204.63,25660.8,262143.0,74.2,4364933.5,5197.791
28312.41,455.30002,17357.92,211954.72,22854.49,3585.8801,6595.18,439.77,2523.84,53701.562,74.3,478628.75,1751.9512
16921.5,460.01,508.68002,6300.41,1587.27,419.19,254.82,19.18,435.6,3063.7202,74.8,14026.387,84.95177
126292.68,5848.25,234468.52,262143.0,262143.0,58328.64,121912.19,10906.57,43746.12,262143.0,75.4,6465255.0,5307.299
76124.13,2587.36,73325.28,262143.0,112049.336,20056.75,35866.6,3425.0,16546.201,249120.97,76.1,2021877.5,2753.1042
40599.42,827.39,33137.992,262143.0,43504.703,6824.79,12523.17,1023.39,4707.12,105820.445,77.1,913749.8,2332.7554
22599.99,354.82,8058.81,98801.67,10939.761,1687.75,3087.98,328.8,1953.6001,25998.72,77.4,222214.31,1018.5573
27574.65,800.7,32863.242,262143.0,51764.473,10383.98,21226.78,2019.38,5821.2,112015.2,78.3,906173.8,3406.606
33780.36,802.27,27710.5,262143.0,39169.93,6447.99,10576.4,913.79,5212.68,88830.73,78.3,764091.7,2344.4658
