FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
44932.89,1070.74,28759.262,262143.0,43140.46,7311.49,11544.99,1224.78,5208.72,93795.24,63.9,793010.3,1829.0475
45227.82,1664.2001,63346.363,262143.0,96598.96,15679.591,37351.68,3471.58,9984.48,208057.1,65.7,1746718.0,4003.6543
132820.3,4149.5103,159270.22,262143.0,239764.12,37731.812,80032.664,6773.28,29199.72,262143.0,65.7,4391730.5,3427.618
61115.76,1103.7101,54855.8,262143.0,79176.67,10172.03,20889.76,1779.63,8791.2,175662.97,65.8,1512598.5,2565.3645
111044.19,3926.57,149661.83,262143.0,212846.48,32382.82,67404.0,5854.0103,23635.922,262143.0,66.6,4126788.0,3852.5784
54073.98,1927.9601,89284.336,262143.0,124161.88,20358.191,32726.56,2846.86,11238.48,262143.0,66.9,2461934.0,4720.021
12093.87,378.37003,7487.33,93429.13,15139.511,2084.96,10043.47,749.39,3630.0002,31144.082,67.3,206456.28,1769.1526
173928.66,7758.9404,262143.0,262143.0,262143.0,79818.805,153461.92,12941.0205,50460.96,262143.0,67.8,7228353.5,4308.3936
55835.73,965.55005,35182.133,262143.0,49199.09,8137.31,12169.71,867.21,4894.56,112506.24,67.8,970115.1,1800.6024
42472.53,730.05005,14167.681,176409.92,20083.441,3562.33,7026.73,643.9,6446.8804,49635.96,68.1,390660.84,952.7611
22191.09,317.14,11742.03,140731.67,16026.561,2370.7002,4230.56,353.46,2051.28,39048.242,69.3,323775.75,1511.9116
6603.3,75.36,15.700001,36.11,83.21,83.21,-46.58,115.08,77.880005,39.600002,70.3,432.91315,5.7981014
19360.11,400.35,237.07,3364.51,1796.0801,477.28003,183.58,121.93,530.64,2530.4402,70.6,6536.989,34.012074
12583.68,117.75001,75.36,755.17004,428.61002,95.770004,102.75,17.81,232.32,1318.68,70.8,2077.9832,16.123095
77590.95,2022.16,100958.85,262143.0,137560.27,21066.26,40605.43,3849.7,8669.761,262143.0,71.2,2783848.0,3719.3374
103937.164,2898.2202,128641.09,262143.0,178622.05,27575.48,52879.26,4268.92,18428.521,262143.0,71.6,3547160.5,3537.8152
30958.95,673.53,27107.621,262143.0,38009.703,6408.74,13028.7,1006.95,3925.6802,86337.24,71.7,747467.9,2502.538
11236.92,98.91,70.65,1518.1901,455.30002,122.46001,900.09,73.98,1095.6001,1296.2401,72.8,1948.1091,16.976862
60485.01,1238.73,32596.342,262143.0,51937.17,7963.04,22311.82,1635.78,9686.16,113484.37,75.0,898814.3,1539.8845
48487.71,800.7,28081.021,262143.0,38788.42,4413.27,13519.16,1202.86,6029.7603,91424.52,75.4,774308.5,1654.8851
44657.1,1103.7101,40488.73,262143.0,57779.14,9492.221,17662.041,1653.59,5979.6,128891.41,75.4,1116439.8,2591.344
15039.69,177.41,53.38,1871.4401,624.86005,7.8500004,1039.83,201.39,978.12006,1780.68,75.7,1471.9047,9.148191
11156.88,142.87001,80.07,1714.4401,425.47,182.12001,698.7,-8.22,1197.24,1725.2401,76.5,2207.857,19.519938
60565.92,990.67004,33455.133,262143.0,45632.05,7548.56,12454.67,1106.96,6891.72,108857.766,76.8,922494.7,1578.3683
69202.414,3091.33,86999.984,262143.0,126472.92,18541.701,39299.82,3209.91,29813.521,262143.0,78.3,2398945.0,3593.5698
51665.82,960.84,46336.98,262143.0,66043.625,11718.48,22594.041,2009.79,6813.8403,144372.36,79.1,1277699.9,2563.327
12588.03,119.32001,314.0,4058.4502,1445.9701,442.74002,97.27,15.07,608.52,3025.4402,79.5,8658.263,70.32156
33646.38,499.26,25700.9,262143.0,37761.64,4749.25,10176.36,1138.47,3492.7202,81473.05,79.5,708678.8,2183.032
62001.42,1570.0,59000.6,262143.0,88595.1,13340.29,37490.05,3441.44,15306.721,203893.81,80.1,1626887.6,2719.845
57734.07,1078.5901,43611.46,262143.0,61454.51,9721.44,21054.16,1827.58,7824.9604,144615.25,80.1,1202546.1,2158.8196
24918.541,343.83002,196.25,2656.4402,1034.63,219.8,2105.69,197.28,1985.28,2376.0,82.2,5411.414,21.518322
34651.23,1251.29,67.51,95.770004,39.25,-26.69,36.99,-42.47,198.00002,40.920002,82.3,1861.5266,4.570555
30379.53,503.97003,19193.25,234148.23,26051.012,3702.06,6671.9,546.63,3901.9202,61633.44,83.2,529236.3,1805.4106
7171.41,65.94,-17.27,23.550001,-1.57,17.27,42.47,-41.1,63.36,125.4,83.5,-476.20447,-7.8855205
57304.29,821.11005,23749.39,262143.0,34067.43,5653.5703,13430.11,1048.05,5868.72,77774.41,83.7,654867.75,1183.9891
23830.17,290.45,10418.5205,125811.95,13836.41,2284.35,3762.02,289.07,2946.2402,34793.883,84.4,287281.2,1249.0515
72096.03,1656.3501,50208.6,262143.0,71059.77,11478.2705,21041.83,1630.3,9395.761,163884.61,84.5,1384456.2,1990.2041
65190.84,1497.78,62035.41,262143.0,84062.516,11960.261,23491.39,1926.22,8565.48,195361.33,84.9,1710569.6,2719.834
17007.63,303.01,690.80005,8595.75,2237.25,1292.11,202.76,86.31,444.84003,3928.32,85.4,19048.18,115.13351
58410.06,1260.7101,44810.94,262143.0,61768.51,9332.08,20093.791,1774.15,8679.0,142587.72,85.7,1235620.8,2192.5393
42145.41,569.91003,20237.3,246477.45,29305.621,3945.4102,7776.12,679.52,4427.2803,64343.402,85.9,558025.06,1371.9392
16642.23,259.05002,67.51,1802.3601,741.04004,194.68001,982.29,52.06,1221.0,2163.48,86.0,1861.5266,10.5986
31618.41,381.51,13313.601,161518.47,18276.371,3075.6301,6262.27,621.98,3953.4001,44152.684,87.0,367110.34,1202.939
72240.45,1535.4601,46115.613,262143.0,64957.184,9872.16,19675.94,1487.82,9269.04,150930.12,87.3,1271595.9,1824.2255
27410.22,618.58,1978.2001,24735.352,4633.0703,761.45,513.75,76.72,883.08,9313.92,87.4,54547.06,205.35104
70245.54,1499.3501,74546.74,262143.0,105254.375,14720.32,27604.13,2502.99,12401.4,242781.02,87.4,2055558.2,3033.3027
23350.8,238.64001,13965.15,170049.84,19967.26,3378.6401,4734.72,341.13,2105.4001,44652.96,87.6,385076.25,1708.9872
113683.77,7237.7,262143.0,262143.0,262143.0,63748.28,112033.12,9837.97,47217.723,262143.0,88.4,7228353.5,6592.087
21137.52,323.42,6840.49,84673.24,9880.011,1251.29,3303.07,421.96,2502.7202,23218.8,89.9,188620.27,924.2993
16198.53,315.57,50.24,1832.1901,806.98004,343.83002,1154.91,90.42,1214.4,2221.56,92.1,1385.3221,7.8679466
70907.61,1323.51,40392.96,262143.0,56552.973,8810.84,14737.09,1275.47,6079.9204,129160.69,92.9,1113799.0,1627.778
49970.19,978.11005,38342.543,262143.0,54166.57,7562.6904,18873.12,1876.9,5892.4805,121127.164,93.2,1057260.5,2192.9104
14424.6,210.38,56.52,1508.77,722.2,65.94,804.19,123.3,1482.3601,2185.9202,93.4,1558.4873,10.203337
58187.34,1094.29,45382.42,262143.0,71147.695,13227.25,26527.31,2367.36,8653.92,150567.12,94.2,1251378.8,2229.0168
22562.58,263.76,287.31,3292.29,926.30005,298.30002,1668.66,272.63,2785.2002,3038.6401,94.7,7922.3105,35.409187
51276.93,1978.2001,87646.82,262143.0,123246.57,20653.352,39303.93,3630.5,11795.5205,262143.0,94.8,2416781.0,4886.2344
80713.38,3157.27,101068.75,262143.0,140281.08,21574.941,42011.05,3612.69,21678.361,262143.0,94.9,2786878.2,3579.3074
21341.1,285.74002,167.99,2618.76,959.27,163.28,1302.87,149.33,1961.52,2340.36,96.0,4632.171,21.506899
20266.65,299.87,183.69,2783.61,1180.64,422.33002,1542.62,163.03,2085.6,3501.9602,96.9,5065.084,24.915081
18832.02,339.12003,113.04,2406.81,753.60004,152.29001,1641.26,147.96,1325.28,2269.08,97.2,3116.9746,16.162645
3851.49,94.200005,-4.71,39.25,-4.71,-31.400002,63.02,-23.29,27.720001,-269.28,97.5,-129.87395,-4.496561
20090.91,288.88,13412.511,164196.89,18334.46,2521.4202,3189.36,142.48,1812.3601,43438.562,98.8,369837.72,1907.7958
21598.621,394.07,2675.28,34175.76,10062.13,2380.12,11965.58,1182.31,4309.8003,21884.281,99.3,73768.4,353.15405
20843.46,298.30002,255.91,3518.37,891.76,-39.25,1324.79,115.08,1818.9601,2592.4802,99.7,7056.4844,34.104794
5152.14,227.65001,3147.85,37403.68,4276.68,755.17004,47.95,47.95,265.32,10784.4,99.7,86799.086,1745.9294
108212.34,4025.4802,157323.42,262143.0,215521.75,35351.69,64872.24,5653.99,28013.041,262143.0,99.8,4338049.5,4155.862
172580.16,6273.72,262143.0,262143.0,262143.0,69031.336,113501.76,9400.94,41461.203,262143.0,100.2,7228353.5,4342.066
41184.06,753.60004,22775.99,262143.0,30888.182,5515.41,9350.25,742.54,6145.9204,71752.56,100.3,628027.1,1580.2377
43390.38,747.32,24721.22,262143.0,35472.582,4738.2603,11660.07,1056.27,6424.4404,81226.2,100.4,681665.06,1628.0165
28004.43,529.09,22739.88,262143.0,32390.672,5184.14,9120.09,975.44,3310.56,72544.56,101.5,627031.44,2320.7234
25671.09,307.72,248.06001,3121.1602,2205.85,719.06,530.19,72.61,1008.48004,4200.24,102.4,6840.028,26.628763
64274.73,1836.9,61018.05,262143.0,84478.56,13220.971,28156.24,2507.1,12472.681,193502.77,103.2,1682516.9,2713.3577
66403.62,1149.24,50163.07,262143.0,66861.59,10925.63,17156.51,1690.58,8778.0,160418.28,103.2,1383200.8,2158.9385
47273.19,857.22003,27228.512,262143.0,39655.062,5761.9004,14708.32,1378.22,5137.4404,88689.484,103.5,750801.3,1645.8649
53861.7,574.62,24934.74,262143.0,36296.832,5466.74,14161.69,1249.4401,8436.12,85277.28,104.3,687552.6,1322.6519
21550.77,403.49002,17409.73,210244.98,23221.871,3394.34,4533.33,408.26,2283.6,56245.203,107.9,480057.4,2308.8208
30557.88,436.46002,7550.1304,92235.93,9300.681,1207.3301,1805.66,47.95,5243.04,26108.281,108.1,208187.94,705.448
6004.74,237.07,5564.08,65566.34,7765.22,1502.49,35.62,57.54,429.00003,17752.682,110.6,153424.42,2648.4038
32567.58,806.98004,27493.842,262143.0,39705.3,6380.48,10791.49,720.62,4241.16,88735.68,110.7,758117.56,2412.787
35420.31,540.08,17555.74,214502.83,25138.842,3758.58,8777.59,643.9,3830.6401,58242.363,111.0,484083.47,1416.1499
67624.23,1931.1001,64465.773,262143.0,88428.68,15232.141,26942.42,2179.67,13482.48,209490.61,111.5,1777584.8,2724.6863
127033.05,3925.0002,130517.24,262143.0,186396.69,29971.3,63606.36,5493.7,31621.922,262143.0,112.6,3598893.5,2936.6506
69431.22,3078.77,140425.52,262143.0,190494.39,28129.691,58096.22,5266.28,16816.8,262143.0,113.1,3872105.2,5781.8276
22701.78,475.71002,13043.561,161491.78,19405.201,4023.9102,10327.06,806.93,4391.64,45884.523,113.2,359664.25,1641.8021
37875.45,879.2,24024.14,262143.0,46228.652,8220.5205,26932.83,2479.7,7725.9604,87443.41,113.5,662443.7,1812.5897
30050.67,507.11002,23995.88,262143.0,33502.23,5075.81,8680.32,957.63,3119.1602,75163.445,114.1,661664.44,2282.1345
74621.64,3502.6702,129890.81,262143.0,183749.67,27189.262,60052.582,5370.4,21729.842,262143.0,114.2,3581620.2,4975.9424
8081.43,53.38,-39.25,53.38,128.74,-45.530003,100.01,0.0,84.48,159.72,114.3,-1082.2828,-14.886744
4773.69,61.230003,-4.71,69.08,-23.550001,-56.52,-39.73,20.55,-44.88,0.0,114.8,-129.87395,-3.821082
21972.72,496.12003,2479.03,29365.281,6028.8003,2053.56,512.38,17.81,988.68005,10178.5205,114.9,68356.984,321.58707
52106.91,954.56006,27316.432,262143.0,41721.18,6033.5103,13347.91,1231.63,7950.3604,90200.88,115.0,753225.6,1497.9171
42662.19,901.18005,28192.49,262143.0,37727.1,6123.0,12925.95,1076.82,5187.6,92774.88,115.2,777382.1,1888.4669
72007.29,2130.49,88207.31,262143.0,120590.13,17934.111,32014.16,2740.0,13607.881,262143.0,115.4,2432236.0,3501.492
22937.55,298.30002,199.39,3612.57,742.61005,194.68001,2028.97,201.39,2783.8801,3289.4402,117.7,5497.997,23.854517
57527.01,995.38,43936.453,262143.0,55475.953,9073.03,15674.17,1409.73,6222.4805,141624.12,118.4,1211507.5,2182.7463
23172.45,301.44,7616.0703,92633.14,10820.44,1716.01,2630.4,246.6,2675.6401,24195.602,118.9,210006.17,938.74066
