FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
18492.72,299.87,36844.76,171798.83,18786.621,2507.29,5400.54,354.83,2717.8801,48576.0,53.4,384322.22,2153.9766
29742.69,463.15002,51133.332,240637.05,27146.871,4215.45,9380.39,827.48,5163.8403,67617.0,53.4,533364.2,1858.48
13806.03,216.66,2452.34,11395.061,2413.09,822.68005,4388.11,354.83,1095.6001,5920.2,53.5,25579.994,191.12306
10723.62,125.600006,-48.670002,50.24,-70.65,-61.230003,78.090004,38.36,178.20001,15.84,53.5,-507.66953,-5.9089384
55783.53,736.33,122585.6,262143.0,64472.05,11288.301,21384.33,2031.71,7506.8403,146083.08,53.5,1278672.1,2375.8462
36282.48,535.37,56284.5,260160.0,26646.041,4118.1104,5374.5103,413.74,4320.3604,72812.52,53.6,587095.25,1676.8745
44999.88,571.48004,49489.543,231932.97,27763.88,4711.5703,9135.16,823.37,5637.72,66196.68,53.6,516218.06,1188.5145
21736.08,376.80002,49015.402,229742.81,25859.47,3669.09,7502.12,648.01,2984.52,61847.28,53.9,511272.34,2438.04
47577.69,659.4,91978.45,262143.0,47278.98,6030.37,12216.29,975.44,5330.16,110287.33,54.0,959413.56,2089.9822
36260.73,637.42004,83225.7,262143.0,42455.94,6404.0303,11635.41,1042.57,6180.24,103559.28,54.2,868114.94,2481.496
38828.97,546.36005,71744.29,262143.0,35852.52,5736.7803,12864.3,1146.6901,4927.56,84746.64,54.2,748354.0,1997.4768
48218.01,602.88,78512.56,262143.0,44675.92,6675.64,14702.84,1427.54,7188.72,100958.88,54.3,818952.8,1760.1544
27659.041,329.7,51210.26,239376.34,25382.191,4031.7603,5584.12,609.65,3372.6,64893.844,54.4,534166.6,2001.569
22680.03,508.68002,42660.043,199124.67,21881.09,4003.5002,9355.73,721.99,4019.4001,53549.76,54.4,444980.56,2033.4419
38886.39,613.87,70990.695,262143.0,35576.203,6168.5303,12636.88,1156.28,4563.24,89614.805,54.7,740493.4,1973.5651
47612.492,681.38,58904.832,262143.0,28390.31,5774.46,7899.42,635.68,4543.44,73312.805,54.8,614427.5,1337.1278
44174.25,557.35004,59926.902,262143.0,30867.771,6802.81,12676.61,1123.4,4750.68,74345.04,55.0,625088.56,1466.3046
37157.7,475.71002,43963.14,201503.23,22758.72,3362.9402,6351.32,615.13,3729.0002,54720.6,55.0,458572.97,1278.6981
35251.53,693.94,69480.35,262143.0,35938.87,6083.75,14663.11,1201.49,5208.72,89519.766,55.1,724739.2,2130.8254
40438.47,485.13,53328.19,249323.86,25721.31,3747.59,7250.04,627.46,3573.2402,65973.6,55.1,556258.44,1425.362
30187.26,510.25003,54050.39,251650.6,27862.791,5099.3604,7436.36,619.24,4961.8804,71237.766,55.4,563791.56,1935.6127
30746.67,507.11002,40345.863,184679.11,18953.041,3611.0,5717.0103,468.54,3640.56,50190.363,55.4,420841.7,1418.2816
39675.48,554.21,57264.184,262143.0,32668.56,5645.72,11869.68,1104.22,3006.9602,71072.766,55.4,597314.2,1560.092
8259.78,400.35,-39.25,199.39,736.33,638.99005,268.52,-41.1,642.84,872.52,55.5,-409.4109,-6.139712
50466.09,734.76,56108.66,262143.0,28143.82,3868.4802,7670.63,612.39,4893.24,74400.484,55.6,585261.06,1201.5354
45042.51,555.78,70394.09,262143.0,38673.812,7107.39,14275.4,1327.53,4621.3203,85484.52,55.9,734270.3,1689.3679
46790.34,816.4,74540.46,262143.0,40739.93,6969.2305,15978.31,1254.92,6333.3604,92167.69,56.0,777520.44,1722.0723
33084.36,350.11002,39611.1,182961.53,17946.67,2475.8901,3807.23,297.29,4105.2,51831.12,56.2,413177.5,1293.9763
31799.371,725.34,104359.48,262143.0,52389.332,8602.03,15344.0,1327.53,5402.7603,125646.84,56.2,1088558.1,3548.6125
39737.25,353.25,43321.01,201961.67,22173.111,2331.4502,4770.34,495.94,4775.7603,57769.8,56.2,451875.03,1178.1482
48659.1,802.27,101596.27,262143.0,54882.492,9366.62,16444.11,1348.08,6647.5205,123284.05,56.2,1059735.6,2257.2983
39306.6,536.94,52731.59,245312.52,27498.55,4075.7202,7959.7,689.11,5068.8003,69928.32,56.4,550035.4,1450.0187
50789.73,934.15,110780.77,262143.0,55670.633,8091.7803,14731.61,1350.82,6745.2,133854.61,56.5,1155537.8,2358.153
46375.35,808.55005,84423.61,262143.0,43694.67,7157.6304,16498.91,1249.4401,7892.2803,106612.445,56.6,880610.06,1967.9937
31862.01,412.91,36571.582,170291.62,18042.441,3209.08,5666.32,549.37,3987.7202,48950.883,56.8,381472.72,1240.4756
23295.99,329.7,26259.82,122287.305,12636.931,1723.8601,1801.55,108.23,2125.2002,33926.64,57.5,273912.28,1218.2091
45552.332,606.02,64969.742,262143.0,31277.541,4727.27,9148.86,876.8,4753.3203,83229.96,57.6,677689.7,1541.6526
6421.47,61.230003,-20.41,-127.170006,-102.05,-20.41,57.54,1.37,97.68,-30.36,57.6,-212.89366,-4.4377646
26314.89,339.12003,42955.203,200003.88,20763.25,2088.1,5048.45,437.03,2686.2002,53040.242,57.8,448059.3,1764.5574
61702.14,894.9,96102.84,262143.0,48833.28,8733.91,15868.71,1526.18,7484.4004,122902.56,57.9,1002434.44,1683.6265
112048.17,2042.5701,235771.62,262143.0,131270.84,22485.541,49184.37,4304.54,16610.88,262143.0,58.2,2459298.8,2274.9062
33654.21,434.89,39078.87,180768.23,21377.121,4182.48,5467.67,586.36,3259.08,49837.92,58.2,407625.88,1254.9438
38011.17,466.29,17525.91,79120.16,8611.45,1986.05,2333.11,313.73,2034.1201,21176.762,58.3,182810.16,497.6972
11409.18,105.19,64.37,-188.40001,17.27,31.400002,4.11,71.24,180.84001,83.16,58.4,671.4339,5.1023445
10850.64,130.31,745.75,3782.1301,1380.03,737.9,1572.76,90.42,660.0,2587.2002,58.8,7778.807,73.33709
29714.85,430.18002,48390.543,221148.64,22903.16,4383.44,6685.6,586.36,2991.12,56645.164,58.9,504754.53,1760.3861
27297.99,395.64,41540.633,192717.5,21171.451,3100.75,5647.14,731.58,3062.4001,53277.844,58.9,433304.16,1644.925
26715.96,346.97,42730.69,198378.92,22111.88,3691.07,5601.93,657.6,3190.4402,55281.6,58.9,445717.47,1728.9626
26734.23,357.96002,21882.66,101467.53,12649.49,1962.5001,5278.61,416.48,1537.8,25815.24,59.1,228254.77,884.3196
31127.73,431.75,50995.17,236785.84,26418.39,3805.6802,5484.11,506.9,4519.68,66138.6,59.2,531923.06,1770.9409
27430.23,455.30002,54194.832,253602.11,27682.24,4543.58,8766.63,893.24,5430.48,72647.52,59.5,565298.2,2135.9583
25839.871,320.28,30313.56,140199.44,14239.9,2496.3,3814.08,239.75,3116.52,38474.043,59.6,316196.22,1267.8616
24703.65,507.11002,75582.945,262143.0,41314.55,6427.58,10202.39,891.87,5392.2,90021.37,59.7,788394.44,3308.2556
41345.88,668.82,85960.64,262143.0,45110.812,8451.311,15753.63,1396.03,6927.3604,109142.88,59.8,896642.6,2247.7183
24078.121,279.46002,31318.361,147704.03,15480.2,2650.1602,2561.9,275.37,2077.6802,39082.562,59.8,326677.16,1405.8379
25669.35,340.69,25369.63,116654.14,12519.181,2177.59,3261.97,291.81,2720.52,35397.12,59.9,264626.84,1067.9734
30164.64,664.11005,84423.61,262143.0,43325.723,7047.7305,13039.66,1127.51,5619.24,104834.41,60.0,880610.06,3026.146
53707.71,770.87006,85990.48,262143.0,42163.92,6758.85,10290.07,1153.54,5606.04,108996.37,60.2,896953.9,1730.7346
28241.94,453.73,39827.76,182215.78,18588.8,2961.02,4055.2,401.41,2414.28,48147.0,60.2,415437.44,1524.3131
20884.35,609.16003,74243.734,262143.0,39287.68,6016.24,11395.66,990.51,4282.08,90289.32,60.3,774425.3,3844.0898
55809.63,1340.78,101279.13,262143.0,54138.312,10201.86,17705.88,1711.13,8020.3203,123715.69,60.5,1056427.5,1961.8109
25998.21,379.94,42536.01,202726.25,23210.88,3201.2302,6778.7603,667.19,2878.9202,52632.363,60.6,443686.8,1768.6238
29613.06,488.27002,48169.17,223968.36,25802.951,4114.97,10503.79,985.03,4730.8804,62565.363,60.6,502445.47,1758.3551
31960.32,445.88,55494.793,256008.92,27518.96,4023.9102,7148.66,858.99,4056.36,68946.24,60.8,578857.94,1877.0569
32865.12,527.52,61722.98,262143.0,31434.541,4881.1304,6970.56,471.28,4700.52,75125.164,60.9,643823.2,2030.3243
74578.14,1177.5,123472.66,262143.0,61335.19,9771.681,16603.03,1511.11,8672.4,151438.33,61.4,1287924.9,1789.7166
6788.61,42.390003,21.980001,133.45,149.15001,133.45,-76.72,19.18,77.880005,26.400002,61.5,229.27013,2.501987
11295.21,337.55002,-10.990001,153.86,120.89001,-56.52,149.33,-52.06,535.92004,132.0,61.7,-114.63506,-2.0523763
37747.56,502.40002,56584.37,262143.0,29296.201,5201.41,9988.67,783.64,4618.68,72648.84,61.8,590223.1,1620.3442
