FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,normalized_FITC_A,FITC_fluorescence
30649.23,463.15002,61952.203,262143.0,30652.682,4601.67,8440.57,656.23,3921.7202,76389.73,51.8,646214.2,2185.2751
70579.62,1224.6001,144661.38,262143.0,74160.52,12191.051,26815.01,2405.72,10066.32,182606.17,51.8,1508941.2,2215.8735
45473.16,579.33,28817.352,134514.47,14323.11,1869.8701,1905.67,130.15,2394.48,37536.84,52.1,300589.5,684.4354
43187.67,521.24,16282.471,74049.055,8228.37,1182.2101,2635.8801,239.75,2548.9202,24206.16,52.2,169840.03,406.7821
26762.94,438.03003,55664.35,258528.77,28652.5,5279.91,8537.84,671.3,3777.84,68541.0,52.2,580626.56,2248.6294
33067.832,617.01,77411.99,262143.0,40344.293,6870.3203,12172.45,1148.06,5571.72,97405.445,52.3,807472.94,2531.0376
45695.88,628.0,49177.113,224492.73,23361.602,3837.08,5904.7,523.34,4643.7603,62513.883,52.5,512959.12,1163.0017
58643.22,1066.03,142023.78,262143.0,75408.67,13302.61,26698.56,2397.5,9684.841,174570.0,52.8,1481428.9,2618.4546
54482.01,909.03,88739.54,262143.0,47944.66,6308.2603,11355.93,979.55,6310.9204,108412.92,52.8,925628.94,1760.6987
47175.75,695.51,56840.28,262143.0,27473.432,3680.08,5769.07,582.25,4472.16,70357.32,52.9,592892.5,1302.1819
10307.76,54.95,400.35,1632.8,609.16003,332.84,41.1,-69.87,401.28003,1673.76,53.1,4175.991,41.00908
44436.12,692.37,131013.37,262143.0,68335.82,11454.721,14327.46,1382.33,6078.6,155994.97,53.2,1366580.9,3187.9453
50404.32,1058.18,99067.0,262143.0,51339.0,9498.5,18190.86,1656.33,8676.36,127267.805,53.2,1033353.1,2124.8318
31502.7,577.76,72791.484,262143.0,37033.16,6215.6304,10235.2705,745.28,4245.12,88920.484,53.3,759277.1,2498.1968
29659.17,648.41003,97580.21,262143.0,48564.812,8468.58,11961.47,986.4,5373.72,120250.69,53.4,1017844.6,3557.528
23818.86,499.26,45380.85,207874.28,22077.34,4158.93,6756.84,491.83,3166.6802,56385.12,53.5,473360.9,2059.7214
42852.72,601.31,69147.516,262143.0,36942.1,5446.33,11998.46,1163.13,3714.4802,80418.36,53.8,721267.44,1744.2828
28825.71,525.95,56609.492,260888.48,29233.4,4201.3203,8388.51,791.86,3897.9602,69169.32,53.8,590485.2,2123.1094
48432.03,990.67004,107290.664,262143.0,58104.133,10628.9,23298.22,1976.91,7425.0005,132561.0,53.8,1119132.9,2395.0554
61777.832,1066.03,107499.48,262143.0,52105.16,7349.1704,13241.05,1015.17,8284.32,136918.33,54.0,1121311.0,1881.0939
34628.61,573.05005,53309.35,246640.73,26401.121,4403.85,7666.52,817.89,4433.8804,65347.92,54.1,556061.9,1664.0833
56456.04,927.87006,119958.99,262143.0,58116.69,8396.36,15100.14,1417.95,8486.28,143402.17,54.1,1251274.4,2297.2117
39150.0,569.91003,81088.93,262143.0,41614.42,7341.3203,11762.82,1039.83,4678.08,97244.41,54.2,845826.56,2239.255
32207.4,719.06,61823.46,262143.0,38746.03,6548.47,12532.76,1038.46,4816.68,79453.445,54.4,644871.3,2075.1812
50868.03,700.22003,94234.55,262143.0,58978.62,9953.801,23058.47,2483.81,8438.761,114137.766,54.5,982946.5,2002.7007
51901.59,621.72003,83365.43,262143.0,45168.902,7682.0103,18501.85,1616.6,5174.4004,98700.37,54.5,869572.4,1736.2926
43466.94,678.24005,71403.6,262143.0,34257.402,5397.66,8654.29,946.67,5050.3203,86095.68,54.5,744800.3,1775.7595
44618.82,524.38,73265.625,262143.0,35070.66,5543.6704,7766.53,1089.15,4319.04,90067.56,54.6,764222.8,1775.028
49069.742,602.88,87417.6,262143.0,47041.91,7156.06,21170.61,1748.12,5644.3203,109818.73,54.6,911840.0,1925.8715
35014.89,375.23,35191.55,161011.36,17923.121,2070.83,3667.49,327.43,2682.24,43689.363,54.9,367077.8,1086.0593
33037.38,568.34,44415.3,207475.5,23644.201,3169.83,5359.44,364.42,3376.56,53737.203,54.9,463289.38,1453.1012
33428.88,485.13,60336.67,262143.0,29189.441,4939.22,8700.87,945.3,4272.8403,75826.086,55.0,629362.8,1951.2128
60255.332,923.16003,74352.06,262143.0,34671.883,4733.5503,5896.48,561.7,4808.7603,89996.28,55.1,775555.3,1333.6432
51134.25,909.03,127330.14,262143.0,66605.68,10767.061,19219.73,1897.45,6564.3604,153238.81,55.2,1328161.8,2692.3137
37021.11,372.09003,35131.89,161873.28,17197.781,2541.83,2511.21,224.68001,2521.2002,44007.48,55.3,366455.53,1025.4072
25920.78,324.99002,46332.273,215203.05,23272.111,3706.77,5656.73,427.44,2884.2002,56383.8,55.3,483285.03,1932.3174
28194.96,331.27002,63201.92,262143.0,31453.38,4246.85,8132.32,727.47003,3347.52,75208.32,55.5,659249.8,2423.5234
22800.96,293.59,23838.88,109830.92,11304.0,2306.33,1200.12,132.89,1261.92,29311.922,55.6,248659.81,1129.8378
43358.19,726.91003,87629.555,262143.0,48338.73,8025.8403,19658.13,1727.57,4514.4004,106799.88,55.9,914050.8,2184.9844
50728.832,1004.80005,83734.38,262143.0,41284.723,6234.47,11535.4,1065.86,7999.2,109595.64,56.3,873420.9,1784.3221
53061.3,869.78,95663.24,262143.0,56939.19,9818.78,22500.88,2076.92,7679.7603,117783.6,56.4,997849.0,1949.001
20653.8,204.1,4375.5903,20041.05,2788.32,359.53,50.69,-2.74,632.28,6860.04,56.5,45641.13,228.14177
34385.88,477.28003,47385.742,214865.5,23893.83,3545.06,8337.82,660.34,4189.68,59941.203,56.6,494273.62,1489.511
26865.6,406.63,43602.043,204787.67,22845.07,3253.04,7045.91,682.26,3355.4402,56412.844,56.8,454806.4,1754.4075
16768.38,69.08,1232.4501,6323.9604,1628.0901,736.33,606.91,19.18,1155.0,4375.8003,56.9,12855.503,78.49609
4809.36,-3.14,-14.13,120.89001,100.48,-25.12,-42.47,27.4,5.28,224.40001,56.9,-147.38792,-4.17777
45405.3,791.28,92681.81,262143.0,47032.492,8033.6904,11094.26,1035.72,6209.2803,114238.086,57.1,966750.2,2206.7788
98770.234,1720.7201,200229.95,262143.0,101332.516,14464.41,24713.43,2165.97,12728.761,245604.48,57.1,2088568.8,2191.6565
44317.8,819.54004,95614.57,262143.0,49517.8,7718.12,13965.78,1248.07,5690.52,116706.484,57.2,997341.3,2332.5305
54186.21,913.74005,111046.1,262143.0,56976.87,9022.79,18193.6,1841.28,8603.761,144509.64,57.4,1158305.4,2215.5737
54707.34,1238.73,214418.05,262143.0,113807.734,18965.602,44314.02,3625.02,12551.881,262143.0,57.7,2236562.8,4238.195
28058.371,817.97003,101454.98,262143.0,52127.14,7567.4004,15989.2705,1405.62,6206.64,125250.84,57.7,1058261.8,3909.9163
43352.1,626.43,49943.273,230527.81,24105.781,3469.7002,2675.61,197.28,2236.08,59287.8,57.7,520950.84,1245.0471
48659.1,794.42004,83180.17,262143.0,42517.17,6641.1,13575.33,1123.4,4785.0,101630.766,57.8,867640.0,1847.9424
35805.72,384.65002,42364.883,195574.9,21020.73,3168.26,6149.93,665.82,4241.16,54035.523,58.0,441901.78,1278.7385
35903.16,491.41,34825.742,159879.39,18975.021,3075.6301,10502.42,1091.89,4198.9204,46201.32,58.1,363262.12,1048.1445
55552.11,728.48004,59042.992,262143.0,32034.281,5279.91,15568.68,1498.78,5455.56,75114.6,58.2,615868.6,1148.57
48124.92,788.14,97980.56,262143.0,56664.44,10902.08,23972.26,2182.41,4577.7603,120141.125,58.3,1022020.6,2201.1023
51463.11,1205.76,117337.09,262143.0,61592.67,9426.28,21163.76,1857.72,10236.601,145937.89,58.9,1223925.8,2465.0789
27690.36,412.91,48213.133,224477.03,27299.16,5678.6904,7933.67,711.03,3995.6401,61347.004,59.0,502904.0,1882.2344
32892.96,423.90002,54706.652,254583.36,29586.65,5487.1504,13362.98,1237.11,3389.7603,66464.64,59.1,570636.94,1797.8907
45708.93,678.24005,76680.375,262143.0,40413.37,5884.3604,15646.7705,1472.75,6272.64,96899.88,59.1,799841.56,1813.4742
41853.96,646.84,70172.72,262143.0,37210.57,5815.2803,14511.04,1280.95,4845.72,87369.484,59.1,731961.2,1812.4241
44831.97,737.9,98561.46,262143.0,54717.64,8264.48,17181.17,1582.35,6122.16,116886.01,59.1,1028079.94,2376.8635
51708.45,974.97003,116806.44,262143.0,60589.44,11192.53,23184.51,2137.2,6732.0005,143700.48,59.2,1218390.5,2442.2778
