Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.6,16978.05,279.0,240.25,4008.2998,2205.65,790.5,1472.88,134.64,2113.02,5410.26,6624.674,39.459877
53.7,83214.63,2312.5999,162347.0,262143.0,239482.75,36669.9,15211.601,1315.12,19418.37,262143.0,4476570.0,5577.1934
53.7,32679.81,1049.35,85905.65,262143.0,127864.15,17696.35,13038.32,1054.0,10370.31,262143.0,2368769.8,7515.076
53.7,17433.93,252.65,505.3,7393.5,2033.6,891.25,361.76,29.92,2124.63,7296.2397,13933.185,81.87107
53.8,39202.2,959.44995,91482.55,262143.0,127295.3,20170.148,12623.5205,1214.48,10237.439,262143.0,2522547.5,6671.319
53.8,36170.25,545.6,51708.0,262143.0,83915.445,11970.649,10197.28,886.72003,7782.57,179067.47,1425800.8,4086.4758
53.8,64319.1,1083.45,82449.15,262143.0,119762.3,15169.85,11965.28,1049.92,10652.819,261550.08,2273459.8,3664.179
53.8,48221.492,850.94995,76117.4,262143.0,106799.65,14701.75,9160.96,893.52,10331.609,244173.77,2098867.8,4512.2803
53.8,17260.8,310.0,365.8,4876.3,923.8,337.9,239.36,-66.64,476.00998,2912.8198,10086.6,59.594296
53.9,45462.72,759.5,75630.695,262143.0,103045.55,13374.949,6853.04,580.72003,6559.65,242105.9,2085447.2,4755.546
54.2,27403.26,430.9,28727.7,262143.0,37051.2,4639.15,2703.68,199.92,4462.11,93549.51,792140.0,2996.42
54.2,80381.04,1515.8999,125793.34,262143.0,177636.19,24992.2,14994.0,1258.0,17565.93,262143.0,3468636.5,4473.588
54.4,63545.67,2738.8499,116753.75,262143.0,196381.89,28967.95,24425.6,2309.28,18200.61,262143.0,3219377.8,5252.32
54.5,35001.84,722.3,30587.7,262143.0,45266.2,4846.8496,2770.32,246.16,3484.2898,99862.766,843427.8,2497.647
54.5,48244.11,985.8,66239.25,262143.0,98648.195,14066.25,13984.88,1286.56,10031.04,216628.4,1826486.8,3924.727
54.5,57007.62,1416.7,76779.25,262143.0,112609.05,16464.1,11455.28,965.60004,13101.239,259449.95,2117117.5,3849.8794
54.6,7470.69,124.0,60.449997,881.94995,72.85,-4.6499996,74.8,54.4,28.38,459.24,1666.8534,22.135801
54.6,44513.55,1040.0499,39215.0,262143.0,70433.55,10068.8,15690.32,1521.84,14596.35,148061.03,1081317.8,2517.8887
54.7,20563.32,327.05,12162.85,162670.94,17420.45,3121.7,2740.4001,269.28,3561.69,43466.547,335379.44,1690.1848
54.7,47148.78,880.39996,430.9,11220.449,5438.9497,1436.85,4153.44,384.88,4972.9497,14565.39,11881.673,25.130938
55.0,34832.19,551.8,33185.5,262143.0,48412.7,6795.1997,4768.16,467.84,6230.6997,111605.63,915059.8,2723.0593
55.0,43546.98,761.05,60738.297,262143.0,90389.8,13557.85,10538.64,942.48,12123.42,200535.66,1674803.0,3986.9856
55.1,42505.59,812.19995,56675.75,262143.0,79391.0,10853.1,6005.7603,473.28,6434.52,186242.45,1562782.0,3811.4155
55.2,9246.36,172.04999,1184.2,14940.449,3038.0,499.09998,1754.4,136.0,1003.62,7745.1597,32653.23,365.18726
55.2,49462.98,950.14996,89052.15,262143.0,114775.945,16186.649,7856.72,692.24,5021.9697,262143.0,2455531.5,5146.6987
55.3,52423.59,1102.0499,39340.547,262143.0,62739.348,9734.0,6406.96,722.16003,7289.7896,133545.95,1084779.6,2144.6685
55.3,39743.34,922.25,128825.15,262143.0,176537.25,23150.799,8452.4,786.08,9627.27,262143.0,3552235.5,9266.983
