Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
52.1,94974.42,2588.5,132797.8,262143.0,233191.3,37020.2,30076.4,3277.6,31669.5,262143.0,3661777.8,3996.9116
52.3,83378.19,1581.0,166967.55,262143.0,235263.64,32911.15,17813.28,1491.92,17306.639,262143.0,4603977.5,5724.7007
52.3,22372.92,421.59998,10191.25,130212.4,19522.25,3329.4,7023.04,701.76,5544.42,41608.95,281014.4,1301.4282
52.4,50145.93,1005.94995,70092.55,262143.0,99550.3,13015.35,9350.0,790.16003,8301.149,223817.58,1932737.9,3995.5488
52.7,11749.35,161.2,827.69995,10673.3,1520.5499,375.09998,-28.56,-12.24,203.81999,3255.96,22823.068,200.42255
52.9,17984.64,248.0,221.65,3808.3499,1736.0,382.84998,2171.92,224.40001,1923.3899,4296.9897,6111.796,34.2383
53.3,21614.28,545.6,5631.15,72144.75,12868.1,3602.2,5524.32,646.0,2702.5498,27682.11,155273.81,743.9126
53.5,51756.3,1007.49994,94903.4,262143.0,131314.45,20664.6,10953.44,1089.36,9885.27,262143.0,2616874.5,5241.851
53.6,10680.99,117.799995,372.0,6255.8,2608.65,968.75,190.40001,38.08,1329.99,5802.42,10257.56,98.5819
53.8,17456.55,474.3,984.25,13002.949,1833.6499,173.59999,259.76,-10.88,415.37997,4478.88,27139.793,160.21149
53.8,22294.621,413.84998,19376.549,249675.55,33886.098,5420.3496,7776.48,669.12,8747.489,75597.87,534290.6,2483.9941
53.9,53525.01,947.05,79442.15,262143.0,115364.945,14906.35,10888.16,920.72003,8529.4795,258352.16,2190544.5,4242.6855
53.9,28238.46,604.5,745.55,10465.6,2028.95,491.34998,356.32,-4.08,695.31,4845.2397,20557.86,74.48919
54.0,33113.07,567.3,26323.648,262143.0,38774.797,4161.75,3053.2,386.24,3383.67,86201.664,725850.5,2271.98
54.2,75003.57,11550.6,9456.55,149812.14,52434.95,15741.8,7174.0,2280.72,21608.79,122817.02,260755.7,359.49542
54.2,38966.43,1512.7999,54291.848,262143.0,100362.5,15885.949,11653.84,1051.28,9151.26,181284.98,1497048.0,3982.7583
54.3,36404.28,860.25,56398.297,262143.0,83503.15,13364.1,10544.08,991.44,9494.399,190235.0,1555131.5,4428.58
54.3,53081.31,1277.2,78268.8,262143.0,118006.15,17851.35,16241.12,1500.08,16684.86,259729.88,2158190.5,4214.9556
54.4,34224.93,894.35,41806.598,262143.0,58261.4,7939.0996,3926.32,307.36002,5985.5996,135265.53,1152778.6,3491.6194
54.4,33124.38,745.55,28036.398,262143.0,43652.65,7232.3,4483.92,431.12,6768.63,98060.64,773078.06,2419.0454
54.4,41077.92,874.19995,48577.0,262143.0,69667.85,10383.449,5845.2803,386.24,5187.09,153927.95,1339466.4,3380.2031
54.5,22011.871,441.75,27614.799,262143.0,40786.7,6181.4,5381.52,451.52002,5918.52,91682.875,761452.8,3586.021
54.8,56290.742,1737.5499,60068.7,262143.0,99472.8,17597.15,12730.96,1252.56,13668.84,214140.0,1656339.4,3050.1267
54.9,25343.1,660.3,33948.098,262143.0,63737.547,9878.149,10287.04,894.88,11789.31,130674.414,936087.75,3829.0522
54.9,24377.4,694.39996,19466.45,252978.6,37508.45,7737.5996,7052.96,624.24,9298.319,80861.07,536769.5,2282.223
