Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
52.5,44889.39,927.07996,96736.64,262143.0,124835.48,19357.799,13787.68,1124.72,8230.2,262143.0,2667424.2,6160.639
52.6,41744.34,458.91998,37839.34,262143.0,47228.72,7290.36,5061.92,461.04,2899.92,119310.805,1043385.2,2590.761
52.7,39640.68,602.14,41638.52,262143.0,53093.04,7435.1196,4735.52,278.8,2716.74,130275.805,1148144.1,3002.331
52.7,47725.59,848.54,99771.98,262143.0,132530.86,19776.68,11515.12,1028.16,5464.44,262143.0,2751121.0,5976.317
52.8,46665.06,411.18,41932.66,262143.0,59383.938,8494.64,10644.72,1000.96,4676.25,135023.0,1156254.8,2568.269
52.8,17092.02,502.03998,26715.92,262143.0,43330.98,8329.859,7614.64,718.08,3591.3599,85809.51,736667.06,4468.158
52.9,9926.7,113.96,-24.64,92.399994,26.18,-35.42,1.36,81.6,153.51,145.76999,-679.4254,-8.097162
53.2,42141.06,603.68,37295.72,262143.0,49725.06,7927.92,11392.72,912.56,5109.69,120064.164,1028395.3,2529.4778
53.2,17145.96,628.32,52433.918,262143.0,67221.0,10063.899,5139.44,448.80002,3645.5398,162745.11,1445817.4,8742.785
53.4,39156.09,429.66,37104.758,262143.0,47676.86,8235.92,5227.84,480.08002,2503.89,113380.68,1023129.75,2708.4385
53.6,31192.98,392.69998,34830.18,262143.0,45553.2,7700.0,4332.96,427.04,2147.8499,104434.52,960410.3,3191.6243
53.6,30396.06,411.18,37828.56,262143.0,49501.758,7450.52,4815.7603,594.32,3370.77,117622.195,1043087.9,3557.373
53.6,47656.86,657.57996,70910.836,262143.0,91844.055,12729.64,7896.16,704.48,3499.7698,215947.28,1955301.4,4253.379
53.8,4213.41,30.8,7.7,-4.62,-137.06,-52.36,53.04,-48.96,96.75,356.03998,212.32045,4.2252364
53.9,20532.87,292.6,23705.219,262143.0,30339.54,4328.94,1449.76,205.36,1793.1,75101.22,653649.75,3299.9834
53.9,42546.48,736.12,68643.96,262143.0,87294.9,13345.64,6594.64,610.64,5228.3696,212883.53,1892794.4,4612.0444
54.1,38682.81,506.65997,63814.52,262143.0,83078.375,12814.34,6379.7603,575.28,3129.5398,193653.5,1759627.0,4715.833
54.2,24686.25,636.01996,87096.234,262143.0,109678.8,15878.939,5780.0,599.76,4646.58,262143.0,2401599.0,10086.725
54.5,28623.0,329.56,47621.418,262143.0,63330.957,10174.779,5873.84,496.4,3587.49,147283.17,1313117.0,4756.033
54.5,48517.29,605.22,55775.72,262143.0,74001.62,12102.859,11577.68,1051.28,4371.81,175095.56,1537964.4,3285.9844
54.8,54352.38,1461.46,159485.47,262143.0,202217.39,30507.398,13850.24,1297.4401,9584.7,262143.0,4397666.0,8388.8
54.8,26844.72,335.72,41358.24,262143.0,52383.098,9175.319,3983.44,329.12,2149.14,127289.45,1140415.6,4404.0635
55.1,24501.81,693.0,58670.918,262143.0,81245.78,10528.9795,8984.16,640.56,4155.09,182605.94,1617796.9,6845.5806
55.1,15631.29,321.86,6380.2197,80509.66,14352.8,3101.5598,8965.12,817.36,2941.2,26634.629,175928.72,1166.0509
55.3,30875.43,850.07996,44093.277,262143.0,57446.617,9563.399,8724.4,738.48,3757.7698,137366.94,1215831.8,4082.2722
55.5,52387.05,751.51996,69175.26,262143.0,96140.66,15897.42,12614.0,1207.68,5941.7397,213818.78,1907444.5,3774.5117
55.8,34180.56,364.97998,27984.879,262143.0,38840.34,6056.82,6564.72,603.84,2776.0798,86836.34,771657.44,2339.956
55.8,48090.12,659.12,71753.22,262143.0,88351.336,14101.779,8516.32,727.60004,4433.73,225531.98,1978529.4,4265.1343
55.8,53707.71,828.51996,71961.12,262143.0,90405.695,13438.04,8542.16,783.36,5448.96,229074.33,1984262.0,3829.9834
