Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
52.6,68147.97,1294.25,71309.3,262143.0,88934.34,11488.6,3727.76,282.88,10523.2295,237495.12,1966288.6,2990.8667
52.6,52818.57,1522.1,138066.25,262143.0,180088.3,24069.95,8959.68,854.08,32981.867,262143.0,3807050.5,7472.945
52.6,68586.45,990.44995,69959.25,262143.0,93195.3,11882.3,5391.04,455.6,12124.05,237289.45,1929062.4,2915.4585
52.7,6551.1,179.79999,3405.3499,42381.65,6697.55,1164.0499,992.8,55.760002,3043.13,20179.238,93899.41,1485.2657
52.7,9153.2705,65.1,43.399998,787.39996,370.44998,7.75,622.88,58.48,417.88998,657.62,1196.7152,12.556963
52.7,18509.25,175.15,124.0,2176.2,819.94995,213.9,1498.72,167.28,1306.07,2866.2798,3419.1865,18.154987
52.7,65142.12,840.1,49364.4,262143.0,63432.2,8233.6,2431.68,272.0,8744.25,170073.36,1361178.1,2165.7107
52.7,73227.9,1198.1499,58169.95,262143.0,76388.65,10302.85,2443.92,180.88,8839.88,197741.88,1603983.1,2270.2822
52.8,17861.1,196.84999,21.699999,327.05,435.55,119.35,965.60004,104.72,831.85,1266.7699,598.3576,2.4737656
52.8,11988.6,150.34999,48.05,633.94995,398.34998,7.75,733.04,114.24,710.01996,978.56995,1324.9348,10.459718
52.8,17768.01,232.5,-63.55,412.3,430.9,114.7,1418.48,66.64,851.49994,1427.8999,-1752.3331,-11.22647
52.8,48964.47,554.89996,44717.5,262143.0,57438.348,7116.05,2362.32,325.04,9379.6,147680.22,1233044.1,2610.232
52.9,25848.57,269.69998,14521.949,179964.3,18903.799,2132.8,947.92,136.0,2413.0198,48807.977,400429.47,1605.3397
53.0,87577.68,2596.25,262143.0,262143.0,262143.0,58884.5,11064.96,1128.8,49528.477,262143.0,7228353.5,8557.425
53.0,17755.83,195.29999,-43.399998,511.49997,705.25,17.05,1381.76,182.24,1051.9299,1234.0199,-1196.7152,-7.988721
53.2,15293.73,117.799995,155.0,2010.35,596.75,113.149994,59.84,48.96,373.34998,2141.8499,4273.9834,27.977924
53.3,40937.85,568.85,23642.148,262143.0,31695.95,3975.7498,2464.32,159.12,3576.2998,79423.984,651910.6,1650.2427
53.4,38753.28,500.65,31995.1,262143.0,42859.047,4992.55,2484.72,303.28,5106.38,105654.12,882235.6,2359.6086
53.4,21924.0,331.69998,41.85,1235.35,702.14996,471.19998,1803.36,167.28,1234.0199,2077.66,1153.9755,4.4578886
53.5,10421.73,175.15,68.2,522.35,179.79999,55.8,27.2,4.08,161.12999,814.81995,1880.5525,17.710848
53.7,16590.03,204.59999,5468.4,69694.195,7080.4,1032.2999,363.12,63.920002,1324.4099,20035.139,150786.12,941.4582
53.8,12628.92,193.75,17.05,616.89996,328.59998,156.54999,908.48,112.880005,466.36,1158.0399,470.13812,2.8601763
53.8,25515.36,461.9,1607.35,22385.1,7785.65,2597.7998,1132.88,146.88,3496.39,15443.589,44321.207,179.11827
53.8,23699.67,275.9,12099.3,152757.14,16526.1,1585.6499,1062.16,63.920002,1832.69,41143.168,333627.12,1458.7112
53.9,20762.55,323.94998,23.25,1326.7999,823.05,325.5,1763.92,172.72,1433.1399,1917.84,641.0975,2.2017782
54.0,46458.0,683.55,55826.348,262143.0,75322.25,11604.85,3734.56,403.92,9834.17,194693.5,1539360.5,3434.7988
54.3,14567.28,173.59999,63.55,1176.45,421.59998,337.9,811.92,74.8,1038.83,1194.72,1752.3331,11.473435
54.3,24702.78,454.15,88.35,1593.3999,868.0,195.29999,1931.2001,115.6,1616.5399,2152.3298,2436.1704,9.226092
54.5,13607.67,165.84999,128.65,666.5,389.05,-26.349998,17.68,27.2,154.57999,800.41,3547.406,26.031801
54.6,15439.0205,207.7,71.299995,1745.2999,415.4,74.399994,903.04004,0.0,775.51996,2513.89,1966.0321,12.204402
54.6,33336.66,221.65,218.54999,4780.1997,3495.25,1222.95,402.56,6.8,1509.1199,8298.85,6026.316,17.744665
54.8,19145.22,218.54999,38.75,644.8,587.45,311.55,1476.96,190.40001,1300.83,1371.57,1068.4958,4.7870913
54.8,27424.14,418.5,111.6,1195.0499,644.8,248.0,153.68001,9.52,694.3,2006.9199,3077.2678,10.635369
54.9,101752.59,1503.5,73628.1,262143.0,94984.0,12503.85,5433.2,452.88,11184.779,247403.97,2030227.5,2067.9363
54.9,22386.84,226.29999,13120.75,161567.34,18223.35,2032.0499,1476.96,46.24,1499.95,42683.727,361792.7,1674.7717
55.0,21167.1,248.0,16354.05,202169.6,19326.95,3030.25,728.96,61.2,3480.67,55575.438,450947.97,2208.088
55.2,17715.81,182.9,62.0,714.55,375.09998,258.85,78.88,1.36,229.24998,1389.9099,1709.5933,9.006441
55.3,13974.811,43.399998,4922.8,61164.547,5852.8,709.89996,678.64,-4.08,2124.8198,17753.12,135741.7,1006.19885
55.3,57963.75,795.14996,47409.848,262143.0,59006.95,7829.05,3272.1602,291.04,8076.1494,160737.0,1307283.1,2337.6277
55.3,9605.67,103.85,86.799995,652.55,199.95,88.35,486.88,164.56,641.89996,820.05994,2393.4304,24.836937
55.3,22395.541,379.75,1333.0,17459.2,2241.3,413.84998,1932.56,95.200005,1258.9099,5779.7197,36756.254,169.18355
55.4,75897.06,1432.2,213572.94,262143.0,262143.0,36015.8,5202.0,333.2,68611.25,262143.0,5889078.5,8044.8193
55.4,41003.97,478.94998,23866.898,262143.0,29908.799,4490.35,1694.56,159.12,4979.3096,81639.195,658107.9,1663.252
55.4,12554.97,170.5,18.599998,496.0,384.4,117.799995,787.44,8.16,799.1,678.57996,512.8779,3.2359052
55.5,36803.61,410.75,28340.2,262143.0,37176.75,4355.5,1340.96,182.24,4005.9797,96557.48,781455.06,2200.7168
55.6,20499.81,289.85,869.55,10567.899,1669.35,387.5,1928.48,223.04001,1291.6599,4539.15,23977.045,120.28126
55.7,18850.291,141.05,787.39996,10823.649,3326.2998,1570.1499,353.6,36.72,2541.4,14661.52,21711.834,118.43354
55.8,24691.47,342.55,97.649994,1596.5,1043.15,258.85,1444.3201,208.08,1059.7899,2519.13,2692.6094,10.3077
55.8,10700.13,110.049995,55.8,646.35,328.59998,63.55,674.56,144.16,611.76996,1078.13,1538.6339,13.910566
55.9,32013.39,415.4,32376.398,262143.0,42798.598,5178.55,673.2,63.920002,2813.88,103373.41,892749.56,2890.651
56.0,24215.58,255.74998,88.35,1447.7,638.6,127.1,1506.88,197.2,2542.71,2384.2,2436.1704,9.431834
56.0,17955.93,325.5,11338.25,138371.6,13503.6,2047.5499,587.52,25.84,1801.2499,39073.367,312641.88,1804.4569
56.0,14383.71,162.75,333.25,3681.25,734.69995,220.09999,1285.2001,-28.56,736.22,1971.5499,9189.063,65.244255
56.1,55914.9,725.39996,212.34999,3140.2998,1370.2,412.3,218.96,34.0,1311.3099,4781.5,5855.357,9.858598
56.2,10032.84,88.35,38.75,344.09998,162.75,150.34999,-44.88,-66.64,285.58,712.63995,1068.4958,10.043248
56.2,85795.92,1328.35,80173.75,262143.0,105818.5,14171.649,7815.92,659.60004,15573.279,262143.0,2210717.8,2670.8652
56.2,27932.22,372.0,22798.95,262143.0,29132.25,4482.6,1388.56,80.24,4543.0796,76678.23,628660.2,2332.7717
