Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
54.7,11852.01,148.79999,71.299995,1334.5499,486.69998,147.25,633.76,164.56,717.87994,1535.32,1966.0321,16.200714
54.8,49682.22,784.3,81429.25,262143.0,102778.945,12235.699,2797.52,329.12,15975.449,262143.0,2245337.0,4685.282
54.8,58045.53,829.25,67910.15,262143.0,87754.8,12793.699,2314.72,220.32,10601.829,226133.5,1872560.2,3344.1445
54.8,22231.11,243.34999,142.59999,1263.25,943.94995,139.5,1306.96,218.96,2715.63,2800.7798,3932.0642,17.340338
54.8,79384.02,2227.3499,84874.9,262143.0,120903.09,16820.6,4953.12,485.52002,33313.297,262143.0,2340347.8,3055.998
54.8,10286.88,139.5,10.849999,328.59998,354.94998,-3.1,756.16003,65.28,1363.71,1040.14,299.1788,2.0157478
54.9,8418.99,113.149994,13.95,-212.34999,-3.1,35.649998,21.76,123.76,53.71,140.17,384.65848,3.7376523
55.0,24997.71,153.45,700.6,9028.75,1787.1499,297.59998,170.0,54.4,1099.09,7049.11,19318.404,79.134384
55.0,32578.02,370.44998,37530.15,262143.0,48006.598,5426.55,1845.52,194.48,5788.8896,126083.56,1034859.5,3292.8557
55.0,36978.48,435.55,30612.5,262143.0,39540.5,4908.8496,1380.4,84.32,5740.42,101455.56,844111.7,2366.0027
55.1,39631.11,356.5,19725.299,247907.0,28183.648,3633.2,2355.52,193.12,10908.369,80509.98,543907.06,1422.103
55.1,72399.664,1635.25,131128.45,262143.0,163636.6,20771.549,6220.64,722.16003,27790.338,262143.0,3615747.2,5177.565
55.1,19699.41,186.0,503.74997,7573.3,3123.25,1131.5,310.08002,112.880005,1251.0499,8102.3496,13890.444,72.11572
55.2,9168.93,122.45,-13.95,-9.299999,-122.45,-85.25,63.920002,24.48,134.93,20.96,-384.65848,-5.350153
55.2,59387.94,1740.6499,173448.1,262143.0,221092.0,29601.898,8660.48,863.60004,27765.45,262143.0,4782672.5,8349.649
55.2,50400.84,1376.3999,2757.45,42545.95,18173.75,5085.55,1345.04,424.32,8732.46,54649.27,76034.16,155.42957
55.3,31498.35,410.75,230.95,4408.1997,1554.6499,406.09998,2755.36,277.44,6915.4897,7413.2896,6368.235,19.964241
55.4,75007.92,1139.25,140574.14,262143.0,177997.34,21396.2,5010.24,371.28,25419.238,262143.0,3876203.2,5357.55
55.4,35437.71,328.59998,2149.8499,29460.85,9963.399,2693.9,507.28,141.44,3910.3499,27081.629,59280.145,172.45686
55.5,16195.05,217.0,1861.5499,23969.2,6306.9497,1395.0,799.68,80.24,3340.4998,22360.389,51330.535,327.65588
55.6,23080.23,285.19998,22910.549,262143.0,28876.5,3713.7998,538.56,42.16,4759.23,75790.05,631737.44,2837.209
55.6,25451.85,342.55,344.09998,7103.65,5600.15,2173.0999,442.0,114.24,3234.39,17513.389,9488.242,37.655766
55.6,22332.9,336.34998,511.49997,5671.4497,1339.2,75.95,80.24,81.6,542.33997,3950.9597,14104.144,64.48615
55.7,10956.78,184.45,3354.2,40769.65,3788.2,719.19995,501.84,55.760002,793.86,10836.319,92488.99,874.2961
55.7,53180.492,626.19995,64968.246,262143.0,86023.445,11163.1,3069.52,193.12,10817.9795,218830.25,1791440.0,3491.9934
55.7,46444.95,587.45,42719.547,262143.0,54552.25,6483.65,2468.4001,159.12,5715.53,139366.97,1177952.4,2628.8872
55.7,100677.27,3620.7998,262143.0,262143.0,262143.0,58881.4,13574.16,1097.52,69132.625,262143.0,7228353.5,7443.8477
55.7,56433.42,706.8,24883.7,262143.0,34107.75,5691.5996,1089.36,70.72,5788.8896,90771.2,686145.25,1259.7458
55.8,46703.34,516.14996,730.05,12155.1,6545.65,2289.3499,1970.64,252.96,3953.5798,22694.44,20130.46,43.694458
55.9,18062.94,97.649994,79.049995,1765.45,666.5,240.25,-20.4,38.08,451.94998,1245.8099,2179.7312,11.513027
55.9,7174.02,27.9,54.25,523.89996,263.5,52.699997,670.48,-4.08,506.96997,901.27997,1495.8942,20.621517
56.1,22465.14,773.44995,76556.05,262143.0,101143.695,13289.699,4720.56,428.4,15443.589,255147.38,2110963.0,9742.599
56.1,17668.83,165.84999,111.6,2376.15,1993.2999,663.39996,130.56,20.4,639.27997,3109.94,3077.2678,17.059484
56.1,78069.45,1439.95,198469.75,262143.0,255681.8,31113.148,6548.4,598.4,38350.25,262143.0,5472622.0,7267.7915
56.1,32368.35,854.05,65228.65,262143.0,102664.25,15073.75,6887.04,651.44,21579.629,235528.81,1798620.2,5760.9146
56.1,67433.7,1078.7999,97189.65,262143.0,127940.09,16633.049,4104.48,439.28,13102.619,262143.0,2679915.8,4119.8994
56.2,68321.1,1824.35,101379.3,262143.0,140589.64,18820.1,9030.4,975.12,41842.707,262143.0,2795441.2,4241.7104
56.2,19680.27,172.04999,7.75,917.6,492.9,93.0,1610.24,31.28,2880.69,2823.0498,213.69916,0.12595141
56.2,101417.64,2309.5,254776.6,262143.0,262143.0,42132.098,8600.64,556.24,80242.734,262143.0,7025231.5,7181.8203
56.2,61311.51,2227.3499,262143.0,262143.0,262143.0,51511.15,13152.561,1245.76,34054.758,262143.0,7228353.5,12223.898
56.3,17559.21,213.9,1.55,1116.0,447.94998,195.29999,1657.84,155.04001,3455.7798,2955.3599,42.73983,-0.74760795
56.3,63899.76,1912.7,144424.34,262143.0,184752.25,22648.6,8029.44,709.92,26349.338,262143.0,3982369.2,6461.345
56.3,46385.79,1410.5,63134.598,262143.0,97763.15,14478.55,7939.68,703.12,36416.688,245807.08,1740878.8,3890.6294
56.3,31509.66,678.89996,61445.098,262143.0,91288.8,14484.75,5702.48,550.8,16093.35,216953.02,1694292.4,5574.6113
56.4,32423.16,367.34998,170.5,2635.0,1286.5,204.59999,2564.96,312.80002,4336.0996,5570.1196,4701.3813,14.035504
56.5,30885.871,337.9,689.75,10716.699,6982.75,2524.95,535.84,150.96,2147.0898,12122.739,19019.225,62.85293
56.5,25235.22,796.69995,51934.297,262143.0,75680.3,10237.75,5261.84,406.64,23607.51,197740.56,1432040.8,5883.318
56.5,7828.2603,100.75,-3.1,362.69998,314.65,-10.849999,436.56,58.48,706.08997,844.94995,-85.47966,-2.132258
56.6,51358.71,799.8,62536.297,262143.0,80353.55,10713.6,2793.44,338.64,11877.77,207654.64,1724381.1,3480.505
56.7,75833.55,1160.95,146374.25,262143.0,184191.14,23473.2,4040.56,360.4,21797.09,262143.0,4036136.0,5517.897
56.8,37470.9,314.65,193.75,3245.7,1257.0499,401.44998,194.48,40.8,723.12,3771.4897,5342.479,13.784159
56.8,62513.85,821.5,91859.195,262143.0,117525.65,16092.1,2539.12,367.2,12877.3,262143.0,2532933.2,4200.413
56.9,30162.9,339.44998,25102.25,262143.0,32791.8,3250.3499,1475.6,149.6,4908.57,82202.5,692171.56,2378.5154
56.9,45286.98,1035.4,82511.15,262143.0,112375.0,16499.75,7281.44,565.76,25386.488,262143.0,2275169.5,5208.4067
