Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.7,27402.39,296.05,300.69998,3338.7,609.14996,162.75,43.52,34.0,387.75998,2377.65,8291.527,30.375738
54.0,17372.16,199.95,85.25,943.94995,303.8,142.59999,85.68,-39.44,225.31999,919.61993,2350.6907,13.031029
54.0,81345.0,1368.6499,196126.14,262143.0,246947.55,31742.45,4743.68,474.64,11191.329,262143.0,5407999.0,6892.7197
54.1,74680.8,1350.0499,138718.8,262143.0,177330.84,22352.549,4581.84,267.92,11098.319,262143.0,3825044.0,5309.989
54.2,68206.26,974.94995,116127.55,262143.0,154282.34,20881.6,6001.68,632.4,8850.359,262143.0,3202111.0,4867.1064
54.2,70903.26,967.19995,137237.0,262143.0,173248.14,22464.148,3761.76,273.36002,7977.8994,262143.0,3784184.8,5533.1895
54.2,63004.53,1131.5,172301.1,262143.0,222214.19,31725.398,4361.52,410.72,12429.279,262143.0,4751045.0,7818.2524
54.3,77344.74,2001.0499,262143.0,262143.0,262143.0,48972.25,5940.48,471.92,18305.94,262143.0,7228353.5,9689.7295
54.3,22801.83,144.15,1832.1,24440.398,4154.0,1588.75,206.72,9.52,1194.72,12843.239,50518.48,228.73567
54.3,37760.61,598.3,70335.9,262143.0,87881.9,12584.449,1725.84,70.72,4892.8496,235762.0,1939448.0,5324.8267
54.4,55180.62,686.64996,51689.4,262143.0,64497.047,7993.3496,3960.32,187.68001,3632.63,168742.4,1425287.9,2677.3289
54.6,8131.89,71.299995,24.8,-165.84999,-46.5,-127.1,202.64,-118.32,95.63,390.37997,683.8373,7.7198524
54.6,53241.39,533.2,33538.9,262143.0,43009.4,5287.05,707.2,95.200005,2257.13,110264.01,924804.44,1800.1438
54.6,63652.68,637.05,108386.84,262143.0,134138.55,17987.75,2608.48,233.92,5212.4897,262143.0,2988668.0,4867.6533
54.7,22807.92,137.95,102.299995,2613.2998,1191.95,176.7,118.32,2.72,534.48,2779.8198,2820.8289,11.824455
54.7,37508.31,373.55,1154.75,15348.1,2537.3499,193.75,1860.48,133.28,1947.97,7554.7695,31841.176,87.025696
54.8,20526.78,133.3,337.9,3507.65,745.55,156.54999,80.24,-47.600002,324.87997,2899.0298,9317.283,46.066982
55.1,21632.55,165.84999,598.3,7289.65,1210.5499,210.79999,35.36,27.2,344.53,3856.64,16497.574,78.07883
55.2,10875.87,77.5,41.85,13.95,1.55,-94.549995,-24.48,-9.52,116.59,-121.829994,1153.9755,10.002223
55.2,36700.95,364.25,31762.6,262143.0,41453.2,6164.3496,2299.76,251.6,2568.91,107826.09,875824.6,2473.5015
55.3,62993.22,888.14996,123858.945,262143.0,157700.1,22516.85,3076.32,301.92,7387.09,262143.0,3415297.0,5620.8926
55.4,13657.26,117.799995,906.75,11919.5,2948.0999,702.14996,210.8,51.68,896.04,7928.1196,25002.803,188.83357
55.5,90298.17,1277.2,164038.05,262143.0,204494.6,27729.5,3691.04,405.28,9999.2295,262143.0,4523199.0,5193.152
55.6,52011.21,708.35,81846.195,262143.0,103482.65,12734.8,1921.68,193.12,4852.2397,262143.0,2256834.0,4498.358
55.7,18465.75,161.2,100.75,1049.35,612.25,172.04999,51.68,-65.28,195.18999,1437.07,2778.089,14.60009
55.8,81857.43,1492.6499,222924.1,262143.0,262143.0,36869.848,6296.8003,433.84,9097.949,262143.0,6146928.0,7785.601
55.8,74689.5,720.75,151958.89,262143.0,192359.64,24817.049,3337.44,311.44,10284.81,262143.0,4190127.5,5816.221
56.1,68202.78,943.94995,143337.8,262143.0,176937.14,23343.0,2522.8,250.24,8731.149,262143.0,3952408.8,6008.075
56.3,14811.75,93.0,237.15,2650.5,564.2,96.1,-19.04,34.0,182.09,1581.1699,6539.1943,44.778942
56.5,32190.0,181.34999,173.59999,3104.65,1080.35,252.65,74.8,25.84,706.08997,4446.1396,4786.861,14.419763
56.5,15410.311,144.15,83.7,1162.5,234.04999,116.25,-14.96,-1.36,233.18,1042.76,2307.951,14.529699
