Time,FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,normalized_FITC_A,FITC_fluorescence
53.7,32217.84,1143.9,142138.1,262143.0,182580.69,26340.7,5023.84,424.32,11275.17,262143.0,3919328.0,12613.298
53.7,17554.86,217.0,23443.75,262143.0,33018.098,4913.5,1774.8,171.36,3123.0398,82801.164,646439.94,3817.3762
53.8,25057.74,131.75,381.3,5023.55,778.1,72.85,-55.760002,-66.64,293.44,2912.13,10513.998,42.508476
53.8,25712.85,902.1,96431.695,262143.0,120332.695,14738.949,3314.32,354.96,10218.0,262143.0,2659015.8,10722.056
53.9,93583.29,1367.1,232210.14,262143.0,262143.0,39884.598,8130.08,734.4,20690.139,262143.0,6402982.0,7093.6646
53.9,19306.17,530.1,66002.1,262143.0,92724.09,12537.949,2686.0,297.84,7873.0996,230290.12,1819947.6,9773.862
53.9,24159.9,127.1,1227.6,17133.7,2754.3499,440.19998,72.08,8.16,826.61,7562.63,33849.945,144.28163
53.9,31880.28,689.75,130677.4,262143.0,170039.64,24480.7,4758.64,490.96,6591.92,262143.0,3603309.8,11718.993
54.0,36008.43,1171.7999,136832.45,262143.0,179282.3,25406.049,5128.56,461.04,18696.318,262143.0,3773029.8,10864.1045
54.1,18994.71,212.34999,227.84999,3239.5,922.25,213.9,-4.08,17.68,191.26,2185.0798,6282.755,33.297726
54.1,26910.84,942.39996,140952.34,262143.0,189131.0,25192.148,6296.8003,450.16,15024.39,262143.0,3886632.0,14974.9375
54.1,36523.47,582.8,99263.55,262143.0,124271.25,16722.95,3434.0,295.12,6290.6196,262143.0,2737101.5,7769.8184
54.2,37409.13,547.14996,52200.9,262143.0,66408.195,8436.649,1938.0,91.12,4282.3896,171485.55,1439392.0,3988.7837
54.3,17218.17,401.44998,40555.75,262143.0,55204.797,7326.8496,2555.44,145.52,8655.17,146904.7,1118287.8,6733.641
54.3,50997.66,471.19998,77966.55,262143.0,106336.195,13984.1,3153.84,202.64,12807.869,262143.0,2149856.2,4370.264
54.3,46130.88,618.44995,1274.1,17144.549,2318.8,327.05,36.72,-42.16,1410.87,8841.189,35132.14,77.96975
54.3,7863.06,207.7,7088.15,92159.9,15937.1,3078.2998,2041.36,243.44,3257.97,36059.06,195449.25,2576.4502
54.4,9430.8,72.85,69.75,1015.24994,299.15,79.049995,38.08,57.12,145.40999,1159.35,1923.2925,20.146801
54.4,56128.92,725.39996,82509.59,262143.0,106075.8,12796.8,4046.0,337.28,7130.3296,262143.0,2275126.5,4202.0713
54.4,48660.84,1027.65,125818.15,262143.0,163644.34,25221.6,7671.7603,660.96,10704.01,262143.0,3469320.2,7391.863
54.4,46317.93,1170.25,127952.49,262143.0,164706.1,21197.799,4890.56,443.36002,10436.77,262143.0,3528173.0,7897.5728
54.5,63195.93,1260.1499,84916.75,262143.0,115608.3,13413.699,3352.4001,270.64,8123.3096,262143.0,2341501.8,3840.9636
54.5,29781.84,413.84998,62279.0,262143.0,78465.65,9541.8,1403.52,112.880005,3491.15,207345.48,1717286.5,5978.1455
54.5,47278.41,728.5,104981.5,262143.0,135026.7,16017.699,3401.36,312.80002,6450.44,262143.0,2894768.8,6347.9062
54.9,56814.48,678.89996,70163.85,262143.0,90954.0,13402.85,2641.12,357.68,5484.9697,232578.7,1934704.0,3530.046
54.9,46690.29,1511.25,186229.39,262143.0,247511.75,32069.498,8804.64,769.76,19739.08,262143.0,5135105.0,11403.353
54.9,74853.06,1213.6499,227695.0,262143.0,262143.0,38111.4,6827.2,564.4,15426.56,262143.0,6278481.5,8696.47
55.0,44352.6,525.45,40295.348,262143.0,52836.4,7171.8496,2317.44,144.16,3654.9,137141.28,1111107.4,2596.6748
55.0,17072.01,589.0,75337.75,262143.0,101427.34,14179.399,3555.04,274.72,7739.4795,262143.0,2077369.5,12616.606
55.0,53759.91,1044.7,129710.195,262143.0,164613.1,21986.75,4409.12,369.92,11555.51,262143.0,3576640.0,6897.6577
55.1,17654.91,678.89996,64704.746,262143.0,83210.195,11266.949,3247.68,246.16,8040.78,233123.66,1784174.1,10477.994
55.1,53712.93,962.55,111799.945,262143.0,137712.84,20258.5,3555.04,428.4,7866.55,262143.0,3082781.2,5950.299
55.2,33615.06,367.34998,16216.1,207571.34,20687.85,2320.3499,1506.88,171.36,2268.92,54396.438,447144.12,1378.3088
55.2,28567.32,544.05,68956.4,262143.0,92806.25,12169.05,3434.0,359.04,7345.17,245977.38,1901409.6,6900.668
