file_path,subfolder,filename,mean_FSC-A,mean_SSC-A,mean_FITC-A,mean_PE-A,mean_PerCP-Cy5-5-A,mean_PE-Cy7-A,mean_APC-A,mean_APC-Cy7-A,mean_Pacific Blue-A,mean_V500-A,mean_Time,,0.009643887,,,subfolder,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,Specimen_001_Tube_003_003.fcs,20652.496,242.88545,3676.7324,40362.152,4988.822,791.0833,984.353,103.887955,2325.5847,13807.627,883.3412,,101382.5348,4.908972492,508.024265,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3,Specimen_001_Tube_001_001.fcs,25293.182,277.41037,4338.6494,47693.504,6342.2163,1017.0926,2087.7478,216.07695,1740.7086,15545.8125,526.748,,119634.2909,4.729902743,489.4560519,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h P3,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4,Specimen_001_Tube_001_001.fcs,18920.416,242.26797,5851.889,69247.33,8013.638,1199.6956,1126.4103,119.979065,4772.1855,22475.133,265.46503,,161360.4895,8.528379583,883.3301029,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 48h p4,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,Specimen_001_Tube_001_001.fcs,13906.441,214.48907,1691.3716,19704.758,3001.0134,620.2549,697.3575,83.45436,2338.0183,8600.943,405.76425,,46638.02566,3.353699603,346.7539298,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,Specimen_001_Tube_002_002.fcs,15496.323,182.67162,1814.0062,20236.576,3018.8218,572.1219,755.1274,86.74365,3084.7031,9069.559,465.2919,,50019.56264,3.227834283,333.7026238,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,Specimen_001_Tube_003_003.fcs,16349.808,187.9335,1941.7964,22444.395,3193.797,597.0025,718.2212,82.804695,2713.828,9410.87,448.0187,,53543.26059,3.274855618,338.5783897,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P2,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P3\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P3,Specimen_001_Tube_001_001.fcs,18309.934,219.45775,4126.836,48089.37,6235.156,999.7025,1075.8466,113.045235,4378.3516,16823.43,412.37885,,113793.73,6.214862929,643.435478,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h P3,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h p4\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h p4,Specimen_001_Tube_001_001.fcs,16744.26,310.75323,5332.2617,62616.473,7950.5254,1250.818,1176.3236,123.69214,3920.9685,20786.105,546.44507,,147032.2418,8.781053433,909.5305188,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose 72h p4,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,Specimen_001_Tube_001_001.fcs,26199.033,287.60205,5042.6562,59071.758,7476.273,1173.5842,2899.3076,293.41632,2613.8708,18441.883,706.18024,,139046.6348,5.307319352,549.3298983,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,Specimen_001_Tube_002_002.fcs,25521.844,279.4796,4187.0635,49514.188,6312.346,1008.3116,2753.1057,279.35815,2579.5803,15845.958,818.5832,,115454.4483,4.523750255,468.0795584,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,,,,,,
